"","Npredator","Nprey","Nconsumed","Time"
"1",1,2,2,24
"2",1,2,2,24
"3",1,2,1,24
"4",1,2,2,24
"5",1,2,2,24
"6",1,2,1,24
"7",1,2,2,24
"8",1,5,2,24
"9",1,5,5,24
"10",1,5,2,24
"11",1,5,5,24
"12",1,5,2,24
"13",1,5,3,24
"14",1,5,3,24
"15",1,10,4,24
"16",1,10,9,24
"17",1,10,5,24
"18",1,10,5,24
"19",1,10,4,24
"20",1,10,6,24
"21",1,10,6,24
"22",1,20,7,24
"23",1,20,12,24
"24",1,20,8,24
"25",1,20,7,24
"26",1,20,11,24
"27",1,20,7,24
"28",1,20,3,24
"29",1,40,11,24
"30",1,40,7,24
"31",1,40,9,24
"32",1,40,12,24
"33",1,40,15,24
"34",1,40,15,24
"35",1,40,14,24
"36",1,60,12,24
"37",1,60,8,24
"38",1,60,3,24
"39",1,60,12,24
"40",1,60,8,24
"41",1,60,10,24
"42",1,60,5,24
"43",2,4,2,24
"44",2,4,2,24
"45",2,4,2,24
"46",2,4,4,24
"47",2,4,1,24
"48",2,4,1,24
"49",2,4,1,24
"50",2,10,3,24
"51",2,10,5,24
"52",2,10,7,24
"53",2,10,3,24
"54",2,10,8,24
"55",2,10,9,24
"56",2,10,5,24
"57",2,20,10,24
"58",2,20,7,24
"59",2,20,11,24
"60",2,20,9,24
"61",2,20,13,24
"62",2,20,9,24
"63",2,20,6,24
"64",2,40,17,24
"65",2,40,16,24
"66",2,40,10,24
"67",2,40,10,24
"68",2,40,11,24
"69",2,40,10,24
"70",2,40,14,24
"71",2,80,10,24
"72",2,80,17,24
"73",2,80,11,24
"74",2,80,5,24
"75",2,80,16,24
"76",2,80,11,24
"77",2,80,12,24
"78",2,120,17,24
"79",2,120,13,24
"80",2,120,8,24
"81",2,120,20,24
"82",2,120,13,24
"83",2,120,11,24
"84",2,120,17,24
"85",4,8,7,24
"86",4,8,7,24
"87",4,8,7,24
"88",4,8,7,24
"89",4,8,6,24
"90",4,8,3,24
"91",4,8,6,24
"92",4,20,11,24
"93",4,20,9,24
"94",4,20,9,24
"95",4,20,8,24
"96",4,20,12,24
"97",4,20,9,24
"98",4,20,11,24
"99",4,40,19,24
"100",4,40,16,24
"101",4,40,10,24
"102",4,40,16,24
"103",4,40,13,24
"104",4,40,16,24
"105",4,40,18,24
"106",4,80,20,24
"107",4,80,22,24
"108",4,80,22,24
"109",4,80,23,24
"110",4,80,15,24
"111",4,80,20,24
"112",4,80,16,24
"113",4,160,10,24
"114",4,160,20,24
"115",4,160,17,24
"116",4,160,26,24
"117",4,160,21,24
"118",4,160,16,24
"119",4,160,24,24
"120",4,240,21,24
"121",4,240,20,24
"122",4,240,16,24
"123",4,240,22,24
"124",4,240,14,24
"125",4,240,16,24
"126",4,240,11,24
