"","Npredator","Nprey","Nconsumed","Time"
"1",1,2,1,24
"2",1,4,1,24
"3",1,8,3,24
"4",1,16,3,24
"5",1,24,4,24
"6",1,32,5,24
"7",1,48,5,24
"8",1,72,4,24
"9",1,104,4,24
"10",1,136,5,24
"11",1,168,5,24
"12",2,2,0,24
"13",2,4,3,24
"14",2,16,8,24
"15",2,24,9,24
"16",2,32,8,24
"17",2,48,9,24
"18",4,2,2,24
"19",4,4,2,24
"20",4,8,5,24
"21",4,16,8,24
"22",4,24,11,24
"23",4,32,11,24
"24",4,48,11,24
"25",4,72,15,24
"26",4,104,17,24
"27",4,136,19,24
"28",4,168,18,24
"29",6,2,2,24
"30",6,4,2,24
"31",6,8,8,24
"32",6,16,8,24
"33",6,24,14,24
"34",6,32,20,24
"35",6,48,24,24
"36",6,72,25,24
"37",6,104,24,24
"38",8,2,2,24
"39",8,4,3,24
"40",8,8,8,24
"41",8,16,15,24
"42",8,24,16,24
"43",8,32,22,24
"44",8,48,28,24
"45",8,72,28,24
"46",8,104,33,24
"47",8,136,36,24
"48",8,168,34,24
"49",10,104,42,24
"50",10,168,38,24
"51",14,8,8,24
"52",14,16,15,24
"53",14,24,22,24
"54",14,48,32,24
"55",14,72,46,24
"56",14,104,52,24
"57",14,136,52,24
"58",14,168,51,24
"59",16,168,58,24
"60",20,8,8,24
"61",20,16,14,24
"62",20,24,21,24
"63",20,48,41,24
"64",20,72,51,24
"65",20,104,58,24
"66",20,136,68,24
"67",20,168,72,24
"68",30,24,24,24
"69",30,48,37,24
"70",30,72,53,24
"71",30,104,70,24
"72",30,136,73,24
"73",30,168,72,24
"74",40,24,24,24
"75",40,48,47,24
"76",40,72,57,24
"77",40,104,80,24
"78",40,136,100,24
"79",40,168,107,24
"80",60,32,32,24
"81",60,48,47,24
"82",60,72,67,24
"83",60,104,88,24
"84",60,136,100,24
"85",60,168,140,24
"86",80,72,72,24
"87",80,104,102,24
"88",80,136,128,24
"89",80,168,159,24
"90",100,72,72,24
"91",100,104,103,24
"92",100,136,118,24
"93",100,168,157,24
"94",120,72,72,24
"95",120,104,99,24
"96",120,136,131,24
"97",120,168,153,24
