"","Npredator","Nprey","Nconsumed","Time"
"1",1,8,1,16
"2",1,18,4,16
"3",1,32,8,16
"4",1,50,16,16
"5",1,72,22,16
"6",1,98,22,16
"7",1,128,24,16
"8",1,162,35,16
"9",1,200,33,16
"10",1,392,32,16
"11",1,800,34,16
"12",5,8,2,16
"13",5,18,10,16
"14",5,32,22,16
"15",5,72,34,16
"16",5,128,49,16
"17",5,200,94,16
"18",5,392,110,16
"19",5,800,102,16
"20",10,8,7,16
"21",10,18,14,16
"22",10,32,28,16
"23",10,50,41,16
"24",10,72,46,16
"25",10,128,59,16
"26",10,200,112,16
"27",10,392,126,16
"28",10,800,109,16
"29",20,8,7,16
"30",20,18,14,16
"31",20,32,25,16
"32",20,72,54,16
"33",20,128,91,16
"34",20,200,148,16
"35",20,392,168,16
"36",20,800,161,16
"37",40,8,8,16
"38",40,18,17,16
"39",40,32,26,16
"40",40,72,60,16
"41",40,128,105,16
"42",40,200,162,16
"43",40,392,212,16
"44",40,800,362,16
"45",60,8,8,16
"46",60,18,17,16
"47",60,32,26,16
"48",60,50,42,16
"49",60,72,60,16
"50",60,128,111,16
"51",60,200,173,16
"52",60,392,270,16
"53",60,800,424,16
"54",80,18,18,16
"55",80,32,25,16
"56",80,72,60,16
"57",80,128,102,16
"58",80,200,176,16
"59",80,392,237,16
"60",80,800,387,16
"61",100,8,8,16
"62",100,18,18,16
"63",100,32,29,16
"64",100,72,60,16
"65",100,128,103,16
"66",100,200,177,16
"67",100,392,239,16
"68",100,800,323,16
"69",120,18,18,16
"70",120,32,22,16
"71",120,72,44,16
"72",120,128,92,16
"73",120,200,160,16
"74",120,392,195,16
"75",120,800,258,16
