"","Npredator","Nprey","Nconsumed","Time"
"1",2,20,1,90
"2",2,20,2,90
"3",2,20,1,90
"4",2,20,1,90
"5",2,20,1,90
"6",2,20,2,90
"7",2,20,1,90
"8",2,20,2,90
"9",2,20,1,90
"10",2,20,2,90
"11",2,40,4,90
"12",2,40,2,90
"13",2,40,4,90
"14",2,40,1,90
"15",2,40,2,90
"16",2,40,2,90
"17",2,40,4,90
"18",2,40,2,90
"19",2,40,4,90
"20",2,40,1,90
"21",2,60,4,90
"22",2,60,4,90
"23",2,60,4,90
"24",2,60,2,90
"25",2,60,5,90
"26",2,60,4,90
"27",2,60,3,90
"28",2,60,4,90
"29",2,60,4,90
"30",2,60,4,90
"31",2,80,6,90
"32",2,80,7,90
"33",2,80,4,90
"34",2,80,5,90
"35",2,80,4,90
"36",2,80,6,90
"37",2,80,5,90
"38",2,80,2,90
"39",2,80,6,90
"40",2,80,5,90
"41",2,100,6,90
"42",2,100,5,90
"43",2,100,4,90
"44",2,100,7,90
"45",2,100,6,90
"46",2,100,8,90
"47",2,100,7,90
"48",2,100,5,90
"49",2,100,7,90
"50",2,100,6,90
"51",2,120,6,90
"52",2,120,8,90
"53",2,120,9,90
"54",2,120,8,90
"55",2,120,7,90
"56",2,120,8,90
"57",2,120,5,90
"58",2,120,9,90
"59",2,120,5,90
"60",2,120,7,90
"61",2,140,8,90
"62",2,140,10,90
"63",2,140,7,90
"64",2,140,6,90
"65",2,140,9,90
"66",2,140,10,90
"67",2,140,6,90
"68",2,140,10,90
"69",2,140,9,90
"70",2,140,7,90
"71",2,160,6,90
"72",2,160,9,90
"73",2,160,10,90
"74",2,160,8,90
"75",2,160,10,90
"76",2,160,10,90
"77",2,160,11,90
"78",2,160,9,90
"79",2,160,10,90
"80",2,160,9,90
"81",2,180,11,90
"82",2,180,8,90
"83",2,180,10,90
"84",2,180,11,90
"85",2,180,10,90
"86",2,180,10,90
"87",2,180,11,90
"88",2,180,8,90
"89",2,180,11,90
"90",2,180,11,90
"91",2,200,11,90
"92",2,200,12,90
"93",2,200,11,90
"94",2,200,9,90
"95",2,200,13,90
"96",2,200,10,90
"97",2,200,10,90
"98",2,200,12,90
"99",2,200,10,90
"100",2,200,13,90
"101",3,20,2,90
"102",3,20,1,90
"103",3,20,3,90
"104",3,20,1,90
"105",3,20,1,90
"106",3,20,3,90
"107",3,20,3,90
"108",3,20,1,90
"109",3,20,3,90
"110",3,20,2,90
"111",3,40,6,90
"112",3,40,3,90
"113",3,40,6,90
"114",3,40,1,90
"115",3,40,6,90
"116",3,40,1,90
"117",3,40,6,90
"118",3,40,1,90
"119",3,40,3,90
"120",3,40,6,90
"121",3,60,6,90
"122",3,60,7,90
"123",3,60,7,90
"124",3,60,3,90
"125",3,60,7,90
"126",3,60,3,90
"127",3,60,6,90
"128",3,60,6,90
"129",3,60,7,90
"130",3,60,6,90
"131",3,80,8,90
"132",3,80,10,90
"133",3,80,7,90
"134",3,80,6,90
"135",3,80,6,90
"136",3,80,6,90
"137",3,80,7,90
"138",3,80,9,90
"139",3,80,7,90
"140",3,80,9,90
"141",3,100,12,90
"142",3,100,8,90
"143",3,100,9,90
"144",3,100,9,90
"145",3,100,10,90
"146",3,100,9,90
"147",3,100,9,90
"148",3,100,8,90
"149",3,100,9,90
"150",3,100,9,90
"151",3,120,13,90
"152",3,120,12,90
"153",3,120,10,90
"154",3,120,12,90
"155",3,120,8,90
"156",3,120,12,90
"157",3,120,9,90
"158",3,120,8,90
"159",3,120,12,90
"160",3,120,12,90
"161",3,140,13,90
"162",3,140,12,90
"163",3,140,15,90
"164",3,140,15,90
"165",3,140,8,90
"166",3,140,15,90
"167",3,140,13,90
"168",3,140,12,90
"169",3,140,8,90
"170",3,140,12,90
"171",3,160,16,90
"172",3,160,11,90
"173",3,160,16,90
"174",3,160,13,90
"175",3,160,18,90
"176",3,160,14,90
"177",3,160,13,90
"178",3,160,7,90
"179",3,160,12,90
"180",3,160,17,90
"181",3,180,17,90
"182",3,180,18,90
"183",3,180,16,90
"184",3,180,12,90
"185",3,180,15,90
"186",3,180,14,90
"187",3,180,18,90
"188",3,180,15,90
"189",3,180,12,90
"190",3,180,15,90
"191",3,200,15,90
"192",3,200,18,90
"193",3,200,13,90
"194",3,200,17,90
"195",3,200,16,90
"196",3,200,15,90
"197",3,200,21,90
"198",3,200,17,90
"199",3,200,16,90
"200",3,200,18,90
"201",4,20,5,90
"202",4,20,1,90
"203",4,20,1,90
"204",4,20,2,90
"205",4,20,2,90
"206",4,20,1,90
"207",4,20,6,90
"208",4,20,2,90
"209",4,20,5,90
"210",4,20,1,90
"211",4,40,4,90
"212",4,40,8,90
"213",4,40,4,90
"214",4,40,5,90
"215",4,40,4,90
"216",4,40,4,90
"217",4,40,8,90
"218",4,40,4,90
"219",4,40,8,90
"220",4,40,4,90
"221",4,60,6,90
"222",4,60,8,90
"223",4,60,7,90
"224",4,60,9,90
"225",4,60,9,90
"226",4,60,7,90
"227",4,60,10,90
"228",4,60,8,90
"229",4,60,7,90
"230",4,60,6,90
"231",4,80,9,90
"232",4,80,11,90
"233",4,80,11,90
"234",4,80,10,90
"235",4,80,9,90
"236",4,80,10,90
"237",4,80,11,90
"238",4,80,11,90
"239",4,80,8,90
"240",4,80,10,90
"241",4,100,12,90
"242",4,100,14,90
"243",4,100,12,90
"244",4,100,12,90
"245",4,100,12,90
"246",4,100,12,90
"247",4,100,12,90
"248",4,100,12,90
"249",4,100,8,90
"250",4,100,16,90
"251",4,120,15,90
"252",4,120,14,90
"253",4,120,13,90
"254",4,120,12,90
"255",4,120,18,90
"256",4,120,12,90
"257",4,120,14,90
"258",4,120,16,90
"259",4,120,16,90
"260",4,120,15,90
"261",4,140,12,90
"262",4,140,12,90
"263",4,140,19,90
"264",4,140,16,90
"265",4,140,19,90
"266",4,140,16,90
"267",4,140,20,90
"268",4,140,16,90
"269",4,140,19,90
"270",4,140,16,90
"271",4,160,22,90
"272",4,160,18,90
"273",4,160,22,90
"274",4,160,14,90
"275",4,160,18,90
"276",4,160,20,90
"277",4,160,18,90
"278",4,160,18,90
"279",4,160,16,90
"280",4,160,18,90
"281",4,180,18,90
"282",4,180,20,90
"283",4,180,24,90
"284",4,180,21,90
"285",4,180,17,90
"286",4,180,20,90
"287",4,180,21,90
"288",4,180,20,90
"289",4,180,21,90
"290",4,180,20,90
"291",4,200,24,90
"292",4,200,20,90
"293",4,200,21,90
"294",4,200,21,90
"295",4,200,24,90
"296",4,200,21,90
"297",4,200,21,90
"298",4,200,24,90
"299",4,200,22,90
"300",4,200,24,90
"301",5,20,4,90
"302",5,20,5,90
"303",5,20,2,90
"304",5,20,2,90
"305",5,20,3,90
"306",5,20,5,90
"307",5,20,3,90
"308",5,20,2,90
"309",5,20,2,90
"310",5,20,5,90
"311",5,40,6,90
"312",5,40,8,90
"313",5,40,5,90
"314",5,40,8,90
"315",5,40,5,90
"316",5,40,5,90
"317",5,40,7,90
"318",5,40,9,90
"319",5,40,8,90
"320",5,40,5,90
"321",5,60,10,90
"322",5,60,9,90
"323",5,60,10,90
"324",5,60,9,90
"325",5,60,10,90
"326",5,60,9,90
"327",5,60,10,90
"328",5,60,8,90
"329",5,60,9,90
"330",5,60,12,90
"331",5,80,14,90
"332",5,80,12,90
"333",5,80,11,90
"334",5,80,15,90
"335",5,80,14,90
"336",5,80,12,90
"337",5,80,10,90
"338",5,80,15,90
"339",5,80,11,90
"340",5,80,12,90
"341",5,100,16,90
"342",5,100,14,90
"343",5,100,12,90
"344",5,100,16,90
"345",5,100,16,90
"346",5,100,12,90
"347",5,100,20,90
"348",5,100,16,90
"349",5,100,17,90
"350",5,100,14,90
"351",5,120,21,90
"352",5,120,17,90
