"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,10,8.45,0.23,8,5
"2",1,20,14.15,0.54,8,5
"3",1,30,18.75,0.88,8,5
"4",1,40,25.5,0.86,8,5
"5",1,60,27.95,1.54,8,5
"6",1,120,37.53,0.77,6,5
"7",2,20,19,0.36,5,5
"8",2,40,36.2,1.36,5,5
"9",2,60,46.52,1.1,5,5
"10",2,120,70.32,0.96,5,5
"11",4,40,39.92,0.08,5,5
"12",4,60,58.24,0.36,5,5
"13",4,80,73.6,0.48,5,5
"14",4,120,103.12,1.6,5,5
"15",4,240,161.96,3.32,5,5
"16",6,40,40.02,0,5,5
"17",6,60,59.58,0.12,5,5
"18",6,120,108.06,1.5,5,5
"19",6,180,155.46,4.14,5,5
