"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,5,4.88,0.12,8,1
"2",1,6,6,0,7,1
"3",1,8,7.75,0.16,8,1
"4",1,10,9.63,0.26,8,1
"5",1,15,13.75,0.6,8,1
"6",1,20,15.63,0.87,8,1
"7",1,30,16.63,0.73,8,1
"8",1,60,19.38,0.6,8,1
"9",2,10,10,0,6,1
"10",2,12,12,0,8,1
"11",2,16,15.26,0.5,8,1
"12",2,20,18.5,0.38,8,1
"13",2,30,25.5,0.88,8,1
"14",2,60,36,0.54,7,1
"15",3,20,20.01,0,8,1
"16",3,30,20.97,0.51,8,1
"17",3,60,51.45,1.17,6,1
"18",4,20,20,0,6,1
"19",4,24,24,0,6,1
"20",4,30,30,0,6,1
"21",4,32,32,0,6,1
"22",4,40,39.8,0.2,5,1
"23",4,60,57.48,0.68,6,1
"24",5,30,30,0,6,1
"25",5,60,60,0,6,1
"26",6,30,30,0,6,1
"27",6,36,36,0,5,1
"28",6,48,48,0,6,1
"29",6,60,60,0,6,1
"30",6,90,90,0,5,1
"31",10,50,50,0,6,1
"32",10,60,60,0,5,1
"33",10,80,80,0,5,1
"34",10,100,100,0,5,1
