"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,5,4.6,0.27,10,1
"2",1,6,5.67,0.27,9,1
"3",1,8,6.75,0.32,8,1
"4",1,10,7.86,0.38,14,1
"5",1,15,10.67,0.53,9,1
"6",1,20,12.11,0.35,10,1
"7",1,30,14.3,0.35,10,1
"8",1,60,13.38,0.63,8,1
"9",2,10,10,0,8,1
"10",2,12,12,0,8,1
"11",2,16,13.88,0.36,8,1
"12",2,20,17.38,0.38,8,1
"13",2,30,21.38,1.36,8,1
"14",2,60,30.86,0.92,8,1
"15",3,20,20.01,0,8,1
"16",3,30,28.05,0.66,8,1
"17",3,60,46.86,0.81,6,1
"18",4,10,38.36,0.48,8,1
"19",4,20,20,0,8,1
"20",4,24,24,0,7,1
"21",4,30,30,0,8,1
"22",4,32,32,0,8,1
"23",4,60,54.8,1.68,5,1
"24",5,30,30,0,8,1
"25",5,60,59.75,0.15,8,1
"26",6,30,30,0,8,1
"27",6,36,36,0,8,1
"28",6,48,48,0,8,1
"29",6,60,60,0,8,1
"30",6,90,80.76,0.84,5,1
"31",10,50,50,0,6,1
"32",10,60,60,0,6,1
"33",10,80,78.4,0.5,5,1
"34",10,100,98.2,1.4,5,1
