"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,10,5.3,0.41,8,5
"2",1,20,12,0.55,8,5
"3",1,30,12,0.62,8,5
"4",1,40,13.6,0.35,8,5
"5",1,60,19.6,0.48,7,5
"6",1,120,18.6,0.83,7,5
"7",2,20,10.46,0.26,5,5
"8",2,40,13.72,1.24,5,5
"9",2,60,25.84,1.18,5,5
"10",2,120,35.16,1.7,5,5
"11",4,40,19.68,1.08,5,5
"12",4,60,20.96,1.24,5,5
"13",4,80,32.24,2.04,5,5
"14",4,120,46.88,1.48,5,5
"15",4,240,55.76,3.24,5,5
"16",6,40,34.8,1.08,5,5
"17",6,60,37.44,2.1,5,5
"18",6,120,54.48,1.98,5,5
"19",6,180,67.8,4.5,5,5
