"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,4,3.8,0.13,10,1
"2",1,5,4.33,0.17,9,1
"3",1,6,4.8,0.29,10,1
"4",1,10,6.5,0.26,10,1
"5",1,20,7.91,0.29,11,1
"6",1,30,7.5,0.34,10,1
"7",1,60,9.67,0.29,9,1
"8",2,8,8,0,9,1
"9",2,10,9.78,0.14,9,1
"10",2,12,10.58,0.2,7,1
"11",2,20,14.9,0.28,10,1
"12",2,30,13.82,0.4,11,1
"13",2,60,18.22,0.88,9,1
"14",3,20,18.75,0.45,8,1
"15",3,30,18.75,0.75,11,1
"16",3,60,26.1,1.23,8,1
"17",4,16,15.76,0.16,7,1
"18",4,20,18.84,0.6,10,1
"19",4,24,22.88,0.64,6,1
"20",4,30,27.04,0.52,8,1
"21",4,40,29.44,0.6,8,1
"22",4,60,30.8,1.12,8,1
"23",5,20,20,0,8,1
"24",5,30,29.75,0.25,8,1
"25",5,60,36.75,0.75,8,1
"26",6,24,24,0,6,1
"27",6,30,29.04,0.48,9,1
"28",6,36,34.2,0.66,8,1
"29",6,60,49.56,0.6,8,1
"30",10,40,40,0,7,1
"31",10,50,49.8,0.2,6,1
"32",10,60,57.9,1.3,7,1
"33",10,100,82.2,2.1,5,1
