"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,4,3.26,0.1,10,1
"2",1,5,3.67,0.24,9,1
"3",1,6,3.9,0.23,11,1
"4",1,10,4.54,0.15,10,1
"5",1,20,5.18,0.33,11,1
"6",1,30,5.9,0.31,10,1
"7",1,60,7.5,0.33,8,1
"8",2,8,8,0,10,1
"9",2,10,8.7,0.2,10,1
"10",2,12,9.78,0.14,9,1
"11",2,20,11.36,0.32,11,1
"12",2,30,11.26,0.78,11,1
"13",2,60,12.56,0.58,9,1
"14",3,20,13.65,0.48,10,1
"15",3,30,15.06,0.54,10,1
"16",3,60,19.41,0.63,9,1
"17",4,16,15.24,0.24,9,1
"18",4,20,17.96,0.4,9,1
"19",4,24,16,1.36,8,1
"20",4,30,19.6,1.04,8,1
"21",4,40,21.92,0.8,9,1
"22",4,60,22.56,1.16,8,1
"23",5,20,20,0,10,1
"24",5,30,24.9,0.6,10,1
"25",5,60,29.4,0.35,8,1
"26",6,24,23.22,0.36,10,1
"27",6,30,25.8,0.9,7,1
"28",6,36,27.48,0.9,8,1
"29",6,60,31.44,1.5,8,1
"30",10,40,40,0,7,1
"31",10,50,45.8,1.2,8,1
"32",10,60,50.6,1.7,8,1
"33",10,100,66.8,1.4,5,1
