"","Npredator","Nprey","Nconsumed","Time"
"1",1,50000,47,4
"2",1,107000,80,4
"3",1,258000,356,4
"4",1,50000,32,4
"5",1,152000,62,4
"6",1,28700,6,4
"7",1,99600,33,4
"8",1,497000,569,4
"9",1,858000,405,4
"10",1,986000,336,4
"11",1,50000,29,4
"12",1,497000,255,4
"13",1,98100,56,4
"14",1,238000,223,4
"15",1,50000,42,4
"16",1,1e+05,55,4
"17",1,55000,9,4
"18",1,55000,13,4
"19",1,255000,282,4
"20",1,227000,221,4
"21",1,490000,300,4
"22",1,369000,165,4
"23",1,1030000,531,4
"24",1,1030000,387,4
"25",5,250000,1193,4
"26",5,445000,1276,4
"27",5,98400,199,4
"28",5,471000,1103,4
"29",5,50000,166,4
"30",5,50000,142,4
"31",5,129000,315,4
"32",5,327000,1493,4
"33",5,518000,1746,4
"34",5,455000,1029,4
"35",5,50000,179,4
"36",5,1070000,1173,4
"37",5,1e+06,1950,4
"38",5,987000,1564,4
"39",5,132000,285,4
"40",5,580000,2507,4
"41",5,258000,1040,4
"42",5,350000,1231,4
"43",5,50000,148,4
"44",5,962000,1253,4
"45",5,164000,501,4
"46",5,28700,10,4
"47",5,55000,47,4
"48",5,55000,57,4
"49",5,99600,108,4
"50",5,499000,2928,4
"51",25,438000,6734,4
"52",25,94300,1179,4
"53",25,180000,1997,4
"54",25,987000,9969,4
"55",25,352000,8777,4
"56",25,497000,7816,4
"57",25,147000,1687,4
"58",25,332000,8412,4
"59",25,442000,8084,4
"60",25,50000,815,4
"61",25,1030000,7593,4
"62",25,55000,267,4
"63",25,99600,391,4
"64",25,253000,6528,4
"65",25,189000,4393,4
"66",25,466000,8584,4
"67",25,50000,980,4
"68",25,50000,847,4
"69",25,50000,798,4
"70",25,990000,7771,4
"71",25,979000,10490,4
"72",25,103000,1225,4
"73",25,28700,70,4
"74",25,55000,163,4
"75",25,205000,4858,4
"76",25,253000,6374,4
"77",125,55000,1125,4
"78",125,220000,14856,4
"79",125,230000,21072,4
"80",125,444000,37024,4
"81",125,1030000,47242,4
"82",125,541000,27722,4
"83",125,50000,3364,4
"84",125,50000,3419,4
"85",125,160000,8116,4
"86",125,123000,5904,4
"87",125,55000,788,4
"88",125,99600,752,4
"89",125,399000,26682,4
"90",125,50000,4174,4
"91",125,50000,4037,4
"92",125,1070000,47288,4
"93",125,119000,7239,4
"94",125,392000,32831,4
"95",125,106000,5680,4
"96",125,28700,221,4
"97",125,240000,22141,4
"98",125,1100000,47468,4
"99",125,943000,46512,4
"100",125,405000,31181,4
"101",125,223000,15357,4
