"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",2,5,1.791,0.448,4,24
"2",2,10,3.582,1.791,4,24
"3",2,15,12.313,0.672,4,24
"4",2,20,12.313,2.687,4,24
"5",2,25,14.552,2.239,4,24
"6",2,30,14.776,4.478,4,24
"7",2,45,27.313,3.358,4,24
"8",2,60,35.149,5.597,4,24
"9",2,90,31.791,3.582,4,24
"10",1,5,1.567,0.448,4,24
"11",1,10,4.925,1.567,4,24
"12",1,15,8.284,3.134,4,24
"13",1,20,10.075,2.239,4,24
"14",1,25,16.567,3.358,4,24
"15",1,30,13.209,2.015,4,24
"16",1,45,19.254,2.239,4,24
"17",1,60,21.493,3.582,4,24
"18",1,90,22.836,9.851,4,24
"19",4,5,2.239,0.448,4,24
"20",4,10,4.701,0.672,4,24
"21",4,15,7.388,2.463,4,24
"22",4,20,15.672,0.448,4,24
"23",4,25,16.119,4.254,4,24
"24",4,30,19.701,2.015,4,24
"25",4,45,23.507,5.373,4,24
"26",4,60,42.09,3.134,4,24
"27",4,90,33.358,12.985,4,24
