"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,5,1.045,0.418,4,48
"2",1,10,2.718,1.254,4,48
"3",1,15,6.899,2.927,4,48
"4",1,20,8.153,2.927,4,48
"5",1,25,7.317,4.181,4,48
"6",1,30,8.153,2.718,4,48
"7",1,45,3.763,0.418,4,48
"8",1,60,25.505,10.453,4,48
"9",1,90,17.352,5.436,4,48
"10",2,5,1.045,0.418,4,48
"11",2,10,2.718,2.091,4,48
"12",2,15,6.481,1.882,4,48
"13",2,20,6.272,3.136,4,48
"14",2,25,9.826,2.927,4,48
"15",2,30,17.979,3.345,4,48
"16",2,45,16.098,6.063,4,48
"17",2,60,29.477,3.763,4,48
"18",2,90,21.951,7.735,4,48
"19",4,5,1.882,0.627,4,48
"20",4,10,4.599,1.672,4,48
"21",4,15,9.199,0.627,4,48
"22",4,20,16.098,2.091,4,48
"23",4,25,15.679,5.645,4,48
"24",4,30,26.341,3.972,4,48
"25",4,45,30.732,5.645,4,48
"26",4,60,29.686,12.962,4,48
"27",4,90,59.373,9.617,4,48
