"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,10,2.2,0.4,5,24
"2",1,20,6.6,0.7,5,24
"3",1,40,13,2.3,5,24
"4",1,60,13.4,1.8,5,24
"5",1,80,12.4,1.4,5,24
"6",2,10,3.8,0.4,5,24
"7",2,20,10.2,0.9,5,24
"8",2,40,16.4,1.4,5,24
"9",2,60,29.4,2.4,5,24
"10",2,80,25.6,3,5,24
"11",4,10,5.4,0.4,5,24
"12",4,20,11.4,1.2,5,24
"13",4,40,17,1.2,5,24
"14",4,60,30.2,1.5,5,24
"15",4,80,32.8,2.1,5,24
"16",8,10,6.2,0.6,5,24
"17",8,20,15.8,0.9,5,24
"18",8,40,32,1.3,5,24
"19",8,60,33.2,1.9,5,24
"20",8,80,29.8,1.4,5,24
