"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,10,1.8,0.9,5,24
"2",1,20,10.4,1.9,5,24
"3",1,40,14.8,1,5,24
"4",1,60,17.8,1.8,5,24
"5",1,80,15,2.5,5,24
"6",2,10,8,0.3,5,24
"7",2,20,11.2,0.8,5,24
"8",2,40,14.6,1.2,5,24
"9",2,60,15.2,0.8,5,24
"10",2,80,17,1.8,5,24
"11",4,10,6.8,0.4,5,24
"12",4,20,10.6,1.2,5,24
"13",4,40,14.6,2.1,5,24
"14",4,60,21.4,3.5,5,24
"15",4,80,17.2,1.6,5,24
"16",8,10,4.6,0.7,5,24
"17",8,20,11.4,1.2,5,24
"18",8,40,25.4,2.8,5,24
"19",8,60,29.6,2.7,5,24
"20",8,80,24.6,2.1,5,24
