"","Npredator","Nprey","Nconsumed","Time"
"1",1,6,3,3
"2",1,60,8,3
"3",3,6,5,3
"4",3,60,35,3
"5",6,6,5,3
"6",6,60,48,3
"7",1,12,5,3
"8",1,24,13,3
"9",3,12,9,3
"10",3,24,18,3
"11",6,12,10,3
"12",6,24,22,3
"13",1,6,1,3
"14",1,60,13,3
"15",3,6,4,3
"16",3,60,21,3
"17",6,6,4,3
"18",6,60,50,3
"19",1,12,8,3
"20",1,24,17,3
"21",3,12,6,3
"22",3,24,15,3
"23",6,12,8,3
"24",6,24,15,3
"25",1,6,5,3
"26",1,60,13,3
"27",3,6,2,3
"28",3,60,17,3
"29",6,6,0,3
"30",6,60,30,3
"31",1,12,2,3
"32",1,24,4,3
"33",3,12,6,3
"34",3,24,9,3
"35",6,12,6,3
"36",6,24,9,3
"37",1,6,4,3
"38",3,6,2,3
"39",3,12,11,3
"40",6,6,6,3
"41",6,12,6,3
"42",6,24,7,3
