"","Npredator","Nprey","Nconsumed","Time"
"1",1,6,3,3
"2",1,60,14,3
"3",3,6,2,3
"4",3,60,41,3
"5",6,6,2,3
"6",6,60,40,3
"7",1,12,8,3
"8",1,24,11,3
"9",3,12,8,3
"10",3,24,23,3
"11",6,12,11,3
"12",6,24,15,3
"13",1,6,0,3
"14",1,60,14,3
"15",3,6,6,3
"16",3,60,8,3
"17",6,6,5,3
"18",6,60,20,3
"19",1,12,9,3
"20",1,24,13,3
"21",3,12,9,3
"22",3,24,15,3
"23",6,12,9,3
"24",6,24,5,3
"25",1,6,5,3
"26",1,60,13,3
"27",3,6,5,3
"28",3,60,9,3
"29",6,6,1,3
"30",6,60,31,3
"31",1,12,2,3
"32",1,24,8,3
"33",3,12,4,3
"34",3,24,7,3
"35",6,12,7,3
"36",6,24,15,3
"37",1,6,5,3
"38",3,6,5,3
"39",3,12,6,3
"40",6,6,2,3
"41",6,12,6,3
"42",6,24,17,3
