"","Npredator","Nprey","Nconsumed","Time"
"1",1,10,1,48
"2",1,15,2,48
"3",1,15,1,48
"4",1,25,1,48
"5",1,25,3,48
"6",1,30,1,48
"7",1,30,2,48
"8",1,40,3,48
"9",1,50,3,48
"10",1,50,1,48
"11",1,40,1,48
"12",1,60,2,48
"13",1,60,2,48
"14",1,70,2,48
"15",1,70,3,48
"16",3,10,0,48
"17",3,15,0,48
"18",3,10,1,48
"19",3,25,2,48
"20",3,25,2,48
"21",3,30,3,48
"22",3,30,4,48
"23",3,40,4,48
"24",3,15,2,48
"25",3,40,8,48
"26",3,50,2,48
"27",3,50,3,48
"28",3,60,3,48
"29",3,60,5,48
"30",3,70,7,48
"31",3,70,8,48
"32",5,10,1,48
"33",5,10,1,48
"34",5,15,3,48
"35",5,25,2,48
"36",5,30,0,48
"37",5,30,2,48
"38",5,40,9,48
"39",5,40,12,48
"40",5,50,7,48
"41",5,50,7,48
"42",5,60,10,48
"43",5,60,12,48
"44",5,70,13,48
"45",5,70,22,48
