"","Npredator","Nprey","Nconsumed","Time"
"1",5,2,0,48
"2",5,4,0,48
"3",5,8,0,48
"4",5,16,2,48
"5",5,32,10,48
"6",5,2,0,48
"7",5,4,0,48
"8",5,8,1,48
"9",5,16,3,48
"10",5,32,10,48
"11",5,2,0,48
"12",5,4,0,48
"13",5,8,1,48
"14",5,16,3,48
"15",5,32,10,48
"16",5,2,0,48
"17",5,4,0,48
"18",5,8,0,48
"19",5,16,3,48
"20",5,32,10,48
"21",5,2,0,48
"22",5,4,0,48
"23",5,8,1,48
"24",5,16,3,48
"25",5,32,9,48
"26",5,2,0,48
"27",5,4,0,48
"28",5,8,0,48
"29",5,16,1,48
"30",5,32,11,48
"31",5,2,0,48
"32",5,4,0,48
"33",5,8,0,48
"34",5,16,3,48
"35",5,32,11,48
"36",5,2,0,48
"37",5,4,0,48
"38",5,8,1,48
"39",5,16,3,48
"40",5,32,9,48
"41",5,2,0,48
"42",5,4,0,48
"43",5,8,0,48
"44",5,16,3,48
"45",5,32,11,48
"46",5,2,0,48
"47",5,4,0,48
"48",5,8,0,48
"49",5,16,3,48
"50",5,32,10,48
"51",10,2,0,48
"52",10,4,0,48
"53",10,8,2,48
"54",10,16,7,48
"55",10,32,16,48
"56",10,2,0,48
"57",10,4,1,48
"58",10,8,3,48
"59",10,16,6,48
"60",10,32,19,48
"61",10,2,0,48
"62",10,4,1,48
"63",10,8,3,48
"64",10,16,6,48
"65",10,32,18,48
"66",10,2,0,48
"67",10,4,0,48
"68",10,8,2,48
"69",10,16,9,48
"70",10,32,15,48
"71",10,2,0,48
"72",10,4,0,48
"73",10,8,1,48
"74",10,16,8,48
"75",10,32,13,48
"76",10,2,0,48
"77",10,4,0,48
"78",10,8,2,48
"79",10,16,6,48
"80",10,32,15,48
"81",10,2,0,48
"82",10,4,0,48
"83",10,8,2,48
"84",10,16,7,48
"85",10,32,16,48
"86",10,2,0,48
"87",10,4,0,48
"88",10,8,1,48
"89",10,16,5,48
"90",10,32,16,48
"91",15,2,0,48
"92",15,4,1,48
"93",15,8,3,48
"94",15,16,7,48
"95",15,32,19,48
"96",15,2,0,48
"97",15,4,1,48
"98",15,8,3,48
"99",15,16,7,48
"100",15,32,20,48
"101",15,2,1,48
"102",15,4,2,48
"103",15,8,5,48
"104",15,16,8,48
"105",15,32,17,48
"106",15,2,0,48
"107",15,4,0,48
"108",15,8,2,48
"109",15,16,8,48
"110",15,32,15,48
"111",15,2,1,48
"112",15,4,1,48
"113",15,8,5,48
"114",15,16,12,48
"115",15,32,21,48
"116",20,2,0,48
"117",20,4,0,48
"118",20,8,1,48
"119",20,16,6,48
"120",20,32,23,48
"121",20,2,1,48
"122",20,4,2,48
"123",20,8,3,48
"124",20,16,10,48
"125",20,32,19,48
"126",20,2,0,48
"127",20,4,1,48
"128",20,8,3,48
"129",20,16,9,48
"130",20,32,17,48
"131",20,2,1,48
"132",20,4,1,48
"133",20,8,4,48
"134",20,16,7,48
"135",20,32,15,48
"136",20,2,1,48
"137",20,4,2,48
"138",20,8,5,48
"139",20,16,9,48
"140",20,32,21,48
