"","Npredator","Nprey","Nconsumed","Time"
"1",2,200,30,4
"2",2,160,17,4
"3",13,200,34,4
"4",6,160,64,4
"5",13,200,36,4
"6",7,160,22,4
"7",1,160,18,4
"8",16,60,0,4
"9",10,60,0,4
"10",2,60,0,4
"11",1,200,29,4
"12",9,160,0,4
"13",4,200,19,4
"14",5,200,37,4
"15",6,200,17,4
"16",5,160,34,4
"17",1,200,24,4
"18",4,160,30,4
"19",1,60,14,4
"20",3,200,61,4
"21",1,200,36,4
"22",7,60,24,4
"23",1,160,39,4
"24",6,60,17,4
"25",11,200,33,4
"26",7,200,35,4
"27",9,160,25,4
"28",2,160,28,4
"29",6,60,19,4
"30",10,200,35,4
"31",11,160,28,4
"32",6,60,21,4
"33",2,160,35,4
"34",5,160,53,4
"35",1,200,57,4
"36",9,60,11,4
"37",1,60,9,4
"38",1,160,40,4
"39",1,60,9,4
"40",13,60,17,4
"41",3,200,30,4
"42",5,200,33,4
"43",6,60,1,4
"44",19,200,28,4
"45",17,160,13,4
"46",9,200,18,4
"47",9,160,16,4
"48",1,160,20,4
"49",1,200,12,4
"50",12,160,25,4
"51",6,160,20,4
"52",12,200,27,4
"53",8,200,35,4
"54",1,200,34,4
"55",1,160,29,4
"56",16,60,9,4
"57",7,60,8,4
"58",1,60,0,4
"59",1,200,14,4
"60",1,200,10,4
"61",1,200,6,4
"62",1,160,30,4
"63",7,160,41,4
"64",9,60,7,4
"65",1,60,2,4
"66",18,60,6,4
"67",13,200,83,4
