"","Npredator","Nprey","Nconsumed","Time"
"1",3,1,0,24
"2",1,1,0,24
"3",4,1,0,24
"4",3,1,0,24
"5",4,1,0,24
"6",1,1,0,24
"7",4,1,1,24
"8",1,1,0,24
"9",4,1,0,24
"10",2,1,0,24
"11",2,1,0,24
"12",2,1,0,24
"13",2,1,0,24
"14",1,1,0,24
"15",3,1,1,24
"16",3,1,0,24
"17",1,2,0,24
"18",1,2,0,24
"19",4,2,0,24
"20",4,2,2,24
"21",3,2,1,24
"22",2,2,0,24
"23",2,2,1,24
"24",1,2,0,24
"25",3,2,1,24
"26",3,2,1,24
"27",4,2,1,24
"28",3,2,0,24
"29",4,2,0,24
"30",2,2,1,24
"31",2,2,1,24
"32",1,2,0,24
"33",2,5,3,24
"34",2,5,0,24
"35",1,5,0,24
"36",4,5,1,24
"37",4,5,0,24
"38",2,5,0,24
"39",3,5,1,24
"40",1,5,0,24
"41",3,5,2,24
"42",1,5,1,24
"43",3,5,4,24
"44",1,5,3,24
"45",4,5,1,24
"46",2,5,2,24
"47",4,5,3,24
"48",3,5,0,24
"49",3,10,6,24
"50",1,10,0,24
"51",4,10,4,24
"52",2,10,3,24
"53",2,10,0,24
"54",2,10,0,24
"55",3,10,2,24
"56",4,10,6,24
"57",1,10,0,24
"58",2,10,4,24
"59",3,10,4,24
"60",1,10,4,24
"61",1,10,0,24
"62",4,10,1,24
"63",2,10,0,24
"64",3,10,1,24
"65",4,10,2,24
"66",1,20,4,24
"67",3,20,10,24
"68",4,20,4,24
"69",2,20,1,24
"70",4,20,0,24
"71",3,20,10,24
"72",3,20,6,24
"73",3,20,4,24
"74",4,20,12,24
"75",4,20,2,24
"76",3,20,5,24
"77",1,20,2,24
"78",1,20,0,24
"79",1,20,4,24
"80",2,20,9,24
"81",2,20,10,24
"82",2,20,5,24
"83",1,40,11,24
"84",4,40,4,24
"85",3,40,15,24
"86",4,40,13,24
"87",3,40,3,24
"88",2,40,4,24
"89",2,40,9,24
"90",4,40,10,24
"91",3,40,5,24
"92",4,40,9,24
"93",1,40,1,24
"94",1,40,17,24
"95",2,40,14,24
"96",3,40,2,24
"97",2,40,7,24
"98",1,40,12,24
"99",1,80,9,24
"100",3,80,13,24
"101",4,80,30,24
"102",1,80,2,24
"103",1,80,9,24
"104",1,80,15,24
"105",3,80,17,24
"106",4,80,24,24
"107",2,80,15,24
"108",4,80,27,24
"109",2,80,4,24
"110",1,80,3,24
"111",4,80,20,24
"112",3,80,17,24
"113",3,80,14,24
"114",2,80,21,24
"115",2,80,11,24
"116",1,120,7,24
"117",4,120,27,24
"118",4,120,19,24
"119",2,120,19,24
"120",3,120,23,24
"121",3,120,19,24
"122",4,120,38,24
"123",1,120,12,24
"124",1,120,5,24
"125",2,120,13,24
"126",2,120,22,24
"127",1,120,6,24
"128",3,120,25,24
"129",4,120,19,24
"130",2,120,17,24
"131",3,120,19,24
"132",4,160,19,24
"133",1,160,8,24
"134",3,160,32,24
"135",3,160,23,24
"136",1,160,15,24
"137",1,160,7,24
"138",2,160,19,24
"139",2,160,9,24
"140",3,160,19,24
"141",3,160,20,24
"142",4,160,23,24
"143",3,160,38,24
"144",4,160,33,24
"145",2,160,7,24
"146",4,160,20,24
"147",4,160,26,24
"148",2,160,12,24
"149",1,160,11,24
"150",3,160,31,24
"151",1,320,12,24
"152",1,320,13,24
"153",3,320,34,24
"154",2,320,22,24
"155",2,320,41,24
"156",3,320,37,24
"157",2,320,42,24
"158",2,320,42,24
"159",2,320,25,24
"160",1,320,18,24
"161",4,320,48,24
"162",1,320,7,24
"163",3,320,35,24
"164",4,320,29,24
"165",2,320,31,24
"166",4,320,29,24
"167",3,320,32,24
"168",4,320,40,24
"169",1,640,24,24
"170",3,640,48,24
"171",2,640,11,24
"172",4,640,29,24
"173",2,640,31,24
"174",4,640,38,24
"175",3,640,49,24
"176",1,640,19,24
"177",1,640,9,24
"178",4,640,38,24
"179",4,640,36,24
"180",4,640,53,24
"181",3,640,47,24
"182",3,640,27,24
"183",2,640,17,24
"184",2,640,10,24
"185",1,640,11,24
