"","Npredator","Nprey","Nconsumed","Time"
"1",2,1,0,24
"2",4,1,0,24
"3",3,1,0,24
"4",4,1,0,24
"5",4,1,1,24
"6",1,1,0,24
"7",3,1,0,24
"8",1,1,0,24
"9",1,1,0,24
"10",3,1,0,24
"11",1,1,0,24
"12",2,1,1,24
"13",2,1,1,24
"14",4,1,0,24
"15",2,1,0,24
"16",3,1,1,24
"17",2,1,0,24
"18",4,1,0,24
"19",4,2,0,24
"20",2,2,0,24
"21",1,2,1,24
"22",2,2,1,24
"23",1,2,2,24
"24",2,2,1,24
"25",2,2,2,24
"26",4,2,0,24
"27",1,2,0,24
"28",3,2,2,24
"29",4,2,1,24
"30",4,2,1,24
"31",1,2,1,24
"32",3,2,0,24
"33",3,2,1,24
"34",3,2,1,24
"35",2,2,0,24
"36",2,5,2,24
"37",3,5,1,24
"38",3,5,3,24
"39",1,5,1,24
"40",1,5,0,24
"41",2,5,1,24
"42",2,5,0,24
"43",2,5,3,24
"44",4,5,1,24
"45",1,5,1,24
"46",4,5,3,24
"47",3,5,0,24
"48",3,5,2,24
"49",4,5,3,24
"50",4,5,1,24
"51",1,5,0,24
"52",4,10,2,24
"53",3,10,2,24
"54",3,10,4,24
"55",1,10,4,24
"56",2,10,5,24
"57",4,10,6,24
"58",3,10,6,24
"59",2,10,3,24
"60",4,10,8,24
"61",4,10,7,24
"62",2,10,0,24
"63",1,10,0,24
"64",3,10,9,24
"65",1,10,3,24
"66",4,10,7,24
"67",2,10,3,24
"68",1,10,4,24
"69",4,20,15,24
"70",4,20,8,24
"71",3,20,8,24
"72",3,20,7,24
"73",2,20,6,24
"74",2,20,12,24
"75",2,20,5,24
"76",4,20,13,24
"77",1,20,2,24
"78",3,20,17,24
"79",3,20,11,24
"80",2,20,5,24
"81",1,20,8,24
"82",1,20,6,24
"83",4,20,7,24
"84",1,20,6,24
"85",3,40,23,24
"86",4,40,14,24
"87",3,40,20,24
"88",3,40,28,24
"89",1,40,13,24
"90",4,40,11,24
"91",3,40,15,24
"92",4,40,14,24
"93",1,40,20,24
"94",4,40,24,24
"95",2,40,26,24
"96",1,40,16,24
"97",1,40,5,24
"98",3,40,13,24
"99",2,40,1,24
"100",2,40,17,24
"101",2,40,23,24
"102",2,80,23,24
"103",3,80,45,24
"104",3,80,65,24
"105",1,80,27,24
"106",1,80,22,24
"107",4,80,34,24
"108",2,80,32,24
"109",3,80,29,24
"110",3,80,17,24
"111",4,80,46,24
"112",2,80,18,24
"113",4,80,33,24
"114",4,80,39,24
"115",4,80,54,24
"116",1,80,20,24
"117",2,80,36,24
"118",2,80,37,24
"119",1,80,20,24
"120",1,120,21,24
"121",2,120,24,24
"122",3,120,87,24
"123",3,120,56,24
"124",4,120,70,24
"125",2,120,39,24
"126",1,120,28,24
"127",4,120,66,24
"128",1,120,24,24
"129",3,120,42,24
"130",4,120,91,24
"131",1,120,37,24
"132",4,120,50,24
"133",3,120,70,24
"134",2,120,75,24
"135",2,120,36,24
"136",3,120,56,24
"137",1,160,66,24
"138",4,160,71,24
"139",4,160,82,24
"140",4,160,78,24
"141",3,160,101,24
"142",1,160,22,24
"143",4,160,48,24
"144",1,160,31,24
"145",2,160,64,24
"146",3,160,79,24
"147",3,160,50,24
"148",2,160,58,24
"149",3,160,108,24
"150",2,160,32,24
"151",1,160,56,24
"152",2,160,81,24
"153",2,160,48,24
"154",1,320,71,24
"155",2,320,53,24
"156",3,320,87,24
"157",3,320,106,24
"158",4,320,76,24
"159",4,320,95,24
"160",2,320,89,24
"161",4,320,82,24
"162",4,320,123,24
"163",2,320,56,24
"164",3,320,105,24
"165",3,320,147,24
"166",1,320,47,24
"167",1,320,13,24
"168",1,320,15,24
"169",2,320,86,24
"170",2,640,116,24
"171",2,640,68,24
"172",3,640,146,24
"173",4,640,78,24
"174",1,640,63,24
"175",4,640,111,24
"176",4,640,139,24
"177",1,640,109,24
"178",3,640,87,24
"179",1,640,20,24
"180",4,640,137,24
"181",3,640,140,24
"182",1,640,41,24
"183",2,640,114,24
"184",3,640,113,24
"185",2,640,97,24
"186",1,640,61,24
