"","Npredator","Nprey","Nconsumed","Time"
"1",1,2,2,2
"2",1,2,2,2
"3",1,2,2,2
"4",1,2,2,2
"5",1,2,2,2
"6",1,5,4,2
"7",1,5,5,2
"8",1,5,2,2
"9",1,5,2,2
"10",1,5,2,2
"11",1,10,6,2
"12",1,10,8,2
"13",1,10,7,2
"14",1,10,5,2
"15",1,10,3,2
"16",1,25,14,2
"17",1,25,8,2
"18",1,25,0,2
"19",1,25,6,2
"20",1,25,6,2
"21",1,50,7,2
"22",1,50,11,2
"23",1,50,9,2
"24",1,50,8,2
"25",1,50,3,2
"26",2,2,2,2
"27",2,2,2,2
"28",2,2,2,2
"29",2,2,2,2
"30",2,2,1,2
"31",2,5,4,2
"32",2,5,2,2
"33",2,5,5,2
"34",2,5,3,2
"35",2,5,4,2
"36",2,10,9,2
"37",2,10,7,2
"38",2,10,7,2
"39",2,10,6,2
"40",2,10,4,2
"41",2,25,12,2
"42",2,25,14,2
"43",2,25,17,2
"44",2,25,13,2
"45",2,25,16,2
"46",2,50,25,2
"47",2,50,13,2
"48",2,50,17,2
"49",2,50,14,2
"50",2,50,17,2
