"","Npredator","Nprey","Nconsumed","Time"
"1",1,4,1,12
"2",1,4,0,12
"3",1,4,0,12
"4",1,8,1,12
"5",1,8,1,12
"6",1,8,0,12
"7",1,16,3,12
"8",1,16,1,12
"9",1,16,5,12
"10",2,4,4,12
"11",2,4,2,12
"12",2,4,5,12
"13",2,8,3,12
"14",2,8,3,12
"15",2,8,2,12
"16",2,16,4,12
"17",2,16,3,12
"18",2,16,2,12
"19",2,32,12,12
"20",2,32,3,12
"21",2,32,8,12
"22",4,8,3,12
"23",4,8,4,12
"24",4,8,4,12
"25",4,16,10,12
"26",4,16,5,12
"27",4,16,7,12
"28",4,32,8,12
"29",4,32,7,12
"30",4,32,9,12
"31",4,64,9,12
"32",4,64,15,12
"33",4,64,10,12
"34",8,16,10,12
"35",8,16,14,12
"36",8,16,6,12
"37",8,32,12,12
"38",8,32,15,12
"39",8,32,16,12
"40",8,64,19,12
"41",8,64,21,12
"42",8,64,21,12
"43",16,32,20,12
"44",16,32,17,12
"45",16,32,28,12
"46",16,64,30,12
"47",16,64,23,12
"48",16,64,22,12
