"","Npredator","Nprey","Nconsumed","Time"
"1",1,5,2,8
"2",1,10,4,8
"3",1,30,4,8
"4",1,20,3,8
"5",1,20,5,8
"6",1,30,3,8
"7",1,5,1,8
"8",1,10,2,8
"9",1,20,4,8
"10",1,10,1,8
"11",1,30,2,8
"12",1,5,3,8
"13",1,20,2,8
"14",1,10,1,8
"15",1,5,1,8
"16",1,30,4,8
"17",2,5,3,8
"18",2,10,3,8
"19",2,40,11,8
"20",2,30,6,8
"21",2,50,6,8
"22",2,20,6,8
"23",2,5,3,8
"24",2,10,4,8
"25",2,20,2,8
"26",2,50,4,8
"27",2,40,5,8
"28",2,30,9,8
"29",2,10,3,8
"30",2,20,3,8
"31",2,50,6,8
"32",2,5,2,8
"33",2,40,4,8
"34",2,30,3,8
"35",2,10,5,8
"36",2,5,4,8
"37",2,50,6,8
"38",2,30,5,8
"39",2,20,6,8
"40",2,40,7,8
"41",5,40,17,8
"42",5,10,7,8
"43",5,50,12,8
"44",5,20,19,8
"45",5,30,13,8
"46",5,10,9,8
"47",5,30,7,8
"48",5,40,12,8
"49",5,20,8,8
"50",5,50,23,8
"51",5,40,10,8
"52",5,30,7,8
"53",5,10,10,8
"54",5,20,9,8
"55",5,50,12,8
"56",5,10,8,8
"57",5,30,7,8
"58",5,40,19,8
"59",5,20,13,8
"60",5,50,11,8
"61",10,20,14,8
"62",10,40,22,8
"63",10,50,23,8
"64",10,30,21,8
"65",10,40,23,8
"66",10,50,24,8
"67",10,20,15,8
"68",10,30,20,8
"69",10,40,14,8
"70",10,30,20,8
"71",10,20,14,8
"72",10,50,20,8
"73",10,40,13,8
"74",10,20,16,8
"75",10,50,26,8
"76",10,30,23,8
