"","Npredator","Nprey","Nconsumed","Time"
"1",1,5,2,8
"2",1,20,3,8
"3",1,10,1,8
"4",1,30,5,8
"5",1,30,6,8
"6",1,20,4,8
"7",1,5,2,8
"8",1,10,2,8
"9",1,20,3,8
"10",1,10,1,8
"11",1,5,6,8
"12",1,30,2,8
"13",1,20,2,8
"14",1,10,2,8
"15",1,5,1,8
"16",1,30,1,8
"17",2,50,7,8
"18",2,10,2,8
"19",2,40,7,8
"20",2,30,5,8
"21",2,20,7,8
"22",2,5,3,8
"23",2,5,4,8
"24",2,20,4,8
"25",2,30,9,8
"26",2,10,3,8
"27",2,40,11,8
"28",2,50,13,8
"29",2,10,2,8
"30",2,50,5,8
"31",2,40,8,8
"32",2,20,3,8
"33",2,5,1,8
"34",2,30,5,8
"35",2,5,2,8
"36",2,30,7,8
"37",2,20,2,8
"38",2,50,6,8
"39",2,10,4,8
"40",2,40,5,8
"41",5,50,9,8
"42",5,10,8,8
"43",5,40,9,8
"44",5,20,15,8
"45",5,30,18,8
"46",5,20,14,8
"47",5,40,20,8
"48",5,30,16,8
"49",5,10,9,8
"50",5,50,18,8
"51",5,30,8,8
"52",5,40,11,8
"53",5,20,6,8
"54",5,10,11,8
"55",5,50,10,8
"56",5,10,12,8
"57",5,50,12,8
"58",5,30,12,8
"59",5,20,10,8
"60",5,40,14,8
"61",10,40,15,8
"62",10,20,8,8
"63",10,50,33,8
"64",10,30,21,8
"65",10,20,26,8
"66",10,40,37,8
"67",10,50,32,8
"68",10,30,25,8
"69",10,50,19,8
"70",10,30,16,8
"71",10,20,14,8
"72",10,40,9,8
"73",10,30,27,8
"74",10,20,22,8
"75",10,40,27,8
"76",10,50,10,8
