"","Npredator","Nprey","Nconsumed","Time"
"1",1,5,2,8
"2",1,30,2,8
"3",1,20,3,8
"4",1,10,1,8
"5",1,10,2,8
"6",1,20,2,8
"7",1,5,1,8
"8",1,30,3,8
"9",1,30,3,8
"10",1,10,2,8
"11",1,20,2,8
"12",1,5,1,8
"13",1,5,0,8
"14",1,30,2,8
"15",1,10,3,8
"16",1,20,5,8
"17",2,10,1,8
"18",2,50,9,8
"19",2,40,7,8
"20",2,5,5,8
"21",2,30,9,8
"22",2,20,5,8
"23",2,20,1,8
"24",2,40,12,8
"25",2,5,2,8
"26",2,10,3,8
"27",2,50,9,8
"28",2,30,5,8
"29",2,5,3,8
"30",2,40,10,8
"31",2,20,4,8
"32",2,10,2,8
"33",2,30,10,8
"34",2,10,7,8
"35",2,20,8,8
"36",2,50,7,8
"37",2,40,11,8
"38",2,30,4,8
"39",2,5,3,8
"40",5,10,8,8
"41",5,30,14,8
"42",5,20,23,8
"43",5,50,15,8
"44",5,40,16,8
"45",5,10,12,8
"46",5,50,20,8
"47",5,30,14,8
"48",5,20,9,8
"49",5,40,16,8
"50",5,10,15,8
"51",5,50,7,8
"52",5,20,10,8
"53",5,30,9,8
"54",5,50,14,8
"55",5,40,14,8
"56",5,20,13,8
"57",5,30,16,8
"58",5,10,16,8
"59",5,50,25,8
"60",5,40,19,8
"61",10,20,26,8
"62",10,40,35,8
"63",10,30,17,8
"64",10,50,24,8
"65",10,30,12,8
"66",10,40,28,8
"67",10,20,18,8
"68",10,50,28,8
"69",10,50,31,8
"70",10,30,19,8
"71",10,40,22,8
"72",10,20,18,8
"73",10,20,17,8
"74",10,30,34,8
"75",10,50,28,8
"76",10,40,32,8
