"","Npredator","Nprey","Nconsumed","Time"
"1",24,18,17,21
"2",24,24,24,21
"3",24,30,23,21
"4",24,36,35,21
"5",24,48,38,21
"6",24,72,61,21
"7",48,36,33,21
"8",48,48,45,21
"9",48,60,56,21
"10",48,72,57,21
"11",48,96,84,21
"12",48,144,114,21
"13",96,72,66,21
"14",96,96,87,21
"15",96,120,114,21
"16",96,144,136,21
"17",96,192,156,21
"18",96,288,208,21
"19",192,144,142,21
"20",192,192,187,21
"21",192,240,237,21
"22",192,288,275,21
"23",192,384,350,21
"24",192,576,424,21
"25",24,18,18,21
"26",24,24,17,21
"27",24,30,24,21
"28",24,36,26,21
"29",24,48,35,21
"30",24,72,51,21
"31",48,36,34,21
"32",48,48,45,21
"33",48,60,52,21
"34",48,72,59,21
"35",48,96,86,21
"36",48,144,109,21
"37",96,72,65,21
"38",96,96,69,21
"39",96,120,114,21
"40",96,144,123,21
"41",96,192,165,21
"42",96,288,225,21
"43",192,144,141,21
"44",192,192,186,21
"45",192,240,234,21
"46",192,288,267,21
"47",192,384,347,21
"48",192,576,420,21
"49",24,18,16,21
"50",24,24,20,21
"51",24,30,26,21
"52",24,36,27,21
"53",24,48,40,21
"54",24,72,43,21
"55",48,36,34,21
"56",48,48,46,21
"57",48,60,52,21
"58",48,72,64,21
"59",48,96,65,21
"60",48,144,108,21
"61",96,72,65,21
"62",96,96,89,21
"63",96,120,92,21
"64",96,144,130,21
"65",96,192,169,21
"66",96,288,224,21
"67",192,144,137,21
"68",192,192,183,21
"69",192,240,235,21
"70",192,288,270,21
"71",192,384,317,21
"72",192,576,415,21
"73",24,18,15,21
"74",24,24,18,21
"75",24,30,23,21
"76",24,36,32,21
"77",24,48,35,21
"78",24,72,57,21
"79",48,36,25,21
"80",48,48,44,21
"81",48,60,56,21
"82",48,72,51,21
"83",48,96,84,21
"84",48,144,95,21
"85",96,72,66,21
"86",96,96,88,21
"87",96,120,117,21
"88",96,144,131,21
"89",96,192,145,21
"90",96,288,228,21
"91",192,144,142,21
"92",192,192,192,21
"93",192,240,223,21
"94",192,288,272,21
"95",192,384,332,21
"96",192,576,432,21
"97",24,18,16,21
"98",24,24,18,21
"99",24,30,20,21
"100",24,36,29,21
"101",24,48,26,21
"102",24,72,45,21
"103",48,36,33,21
"104",48,48,43,21
"105",48,60,52,21
"106",48,72,62,21
"107",48,96,81,21
"108",48,144,118,21
"109",96,72,69,21
"110",96,96,87,21
"111",96,120,107,21
"112",96,144,126,21
"113",96,192,151,21
"114",96,288,186,21
"115",192,144,140,21
"116",192,192,188,21
"117",192,240,219,21
"118",192,288,260,21
"119",192,384,338,21
"120",192,576,376,21
