"","Npredator","Nprey","Nconsumed","Time"
"1",1,5,2,24
"2",1,5,3,24
"3",1,5,4,24
"4",1,5,5,24
"5",1,10,5,24
"6",1,10,7,24
"7",1,10,8,24
"8",1,10,9,24
"9",1,10,10,24
"10",1,20,9,24
"11",1,20,11,24
"12",1,20,12,24
"13",1,20,14,24
"14",1,20,15,24
"15",1,20,16,24
"16",1,20,17,24
"17",1,20,18,24
"18",1,20,19,24
"19",1,30,16,24
"20",1,30,18,24
"21",1,30,20,24
"22",1,30,22,24
"23",1,30,23,24
"24",1,30,24,24
"25",1,30,25,24
"26",1,30,26,24
"27",1,30,27,24
"28",1,30,28,24
"29",1,30,30,24
"30",1,40,19,24
"31",1,40,22,24
"32",1,40,24,24
"33",1,40,25,24
"34",1,40,26,24
"35",1,40,27,24
"36",1,40,28,24
"37",1,40,30,24
"38",1,40,31,24
"39",1,40,32,24
"40",1,40,33,24
"41",1,40,34,24
"42",1,60,28,24
"43",1,60,29,24
"44",1,60,36,24
"45",1,60,37,24
"46",1,60,39,24
"47",1,60,40,24
"48",1,60,44,24
"49",1,60,45,24
"50",1,60,46,24
"51",1,60,47,24
"52",1,80,28,24
"53",1,80,29,24
"54",1,80,31,24
"55",1,80,32,24
"56",1,80,37,24
"57",1,80,39,24
"58",1,80,43,24
"59",1,80,44,24
"60",1,80,45,24
"61",1,80,49,24
"62",1,100,31,24
"63",1,100,28,24
"64",1,100,39,24
"65",1,100,40,24
"66",1,100,42,24
"67",1,100,48,24
"68",1,100,49,24
"69",1,10,5,24
"70",1,10,7,24
"71",1,10,8,24
"72",1,10,9,24
"73",1,10,10,24
"74",3,15,2,24
"75",3,15,3,24
"76",3,15,3,24
"77",3,15,4,24
"78",3,15,4,24
"79",3,15,5,24
"80",3,15,5,24
"81",3,15,6,24
"82",3,30,7,24
"83",3,30,8,24
"84",3,30,8,24
"85",3,30,9,24
"86",3,30,9,24
"87",3,30,10,24
"88",3,60,13,24
"89",3,60,15,24
"90",3,60,15,24
"91",3,60,16,24
"92",3,60,17,24
"93",3,60,18,24
"94",3,60,19,24
"95",3,90,7,24
"96",3,90,8,24
"97",3,90,11,24
"98",3,90,11,24
"99",3,90,12,24
"100",3,90,20,24
"101",3,90,21,24
"102",3,90,22,24
"103",3,90,23,24
"104",3,90,23,24
"105",3,90,24,24
"106",3,90,29,24
"107",3,120,15,24
"108",3,120,19,24
"109",3,120,26,24
"110",3,120,28,24
"111",3,120,29,24
"112",3,120,29,24
"113",3,120,30,24
"114",3,120,31,24
"115",3,120,33,24
"116",3,180,15,24
"117",3,180,21,24
"118",3,180,23,24
"119",3,180,26,24
"120",3,180,28,24
"121",3,180,29,24
"122",3,180,33,24
"123",3,180,36,24
"124",3,180,37,24
"125",3,180,39,24
"126",3,180,42,24
"127",12,60,2,24
"128",12,60,3,24
"129",12,60,3,24
"130",12,60,4,24
"131",12,60,4,24
"132",12,60,5,24
"133",6,60,7,24
"134",6,60,7,24
"135",6,60,8,24
"136",6,60,8,24
"137",6,60,9,24
"138",6,60,10,24
"139",6,60,5,24
"140",4,60,5,24
"141",4,60,7,24
"142",4,60,9,24
"143",4,60,11,24
"144",4,60,12,24
"145",4,60,12,24
"146",4,60,13,24
"147",4,60,13,24
"148",4,60,14,24
"149",3,60,8,24
"150",3,60,12,24
"151",3,60,13,24
"152",3,60,14,24
"153",3,60,15,24
"154",3,60,15,24
"155",3,60,16,24
"156",3,60,17,24
"157",3,60,18,24
"158",2,60,16,24
"159",2,60,18,24
"160",2,60,19,24
"161",2,60,19,24
"162",2,60,20,24
"163",2,60,21,24
"164",2,60,22,24
"165",2,60,22,24
"166",2,60,23,24
"167",2,60,24,24
"168",2,60,25,24
"169",1,60,27,24
"170",1,60,28,24
"171",1,60,32,24
"172",1,60,33,24
"173",1,60,35,24
"174",1,60,37,24
"175",1,60,37,24
"176",1,60,39,24
"177",1,60,46,24
"178",1,60,47,24
"179",1,60,51,24
