"","Npredator","Nprey","Nconsumed","Time"
"1",2,52,22,41.25
"2",3,50,19,37.5
"3",3,51,32,41.5
"4",2,35,18,39
"5",1,50,26,28.5
"6",3,5,5,38.5
"7",2,12,8,38
"8",4,36,24,22.5
"9",2,23,6,33
"10",4,55,25,55.5
"11",2,54,30,29
"12",4,50,23,42.5
"13",3,35,19,48
"14",3,26,16,37.75
"15",3,25,10,50.25
"16",4,52,32,32.75
"17",2,4,4,55.5
"18",2,35,25,33.5
"19",4,11,11,32
"20",2,4,3,40.5
"21",3,3,2,10
"22",3,51,22,48
"23",4,35,21,50.5
"24",3,24,18,48.75
"25",3,35,21,42.25
"26",1,12,6,48
"27",1,33,17,46
"28",2,12,8,44
"29",2,54,29,35
"30",2,35,19,47
"31",1,11,6,50
"32",3,12,9,37.5
"33",1,25,11,13
"34",1,50,22,41.5
"35",3,13,9,53
"36",2,34,22,50.5
"37",4,33,15,46.5
"38",3,13,11,49
"39",2,20,15,38.5
"40",2,12,8,43.5
"41",4,4,2,41.5
"42",4,4,3,4
"43",4,49,29,40.5
"44",2,22,15,37.5
"45",4,12,11,47
"46",1,37,12,34.5
"47",4,13,9,40
"48",2,2,2,56
"49",1,53,27,40
"50",4,16,9,40
"51",2,25,16,47
"52",4,4,3,10
"53",4,13,11,22
"54",1,13,5,41.5
"55",1,24,16,38
"56",4,4,3,37
"57",1,4,3,39.5
"58",3,13,8,46.5
"59",4,33,19,35.5
"60",2,6,6,38.5
"61",4,21,16,42
"62",1,20,9,46
"63",2,12,10,37
"64",3,26,18,43
"65",1,5,2,21.5
"66",3,38,25,34.5
"67",4,20,17,39.5
"68",2,19,13,49
"69",3,4,3,35.5
"70",3,35,21,37.5
"71",1,12,6,35.5
"72",4,23,17,40
"73",3,4,3,15.5
"74",1,18,12,50
"75",1,34,10,47
"76",1,50,15,39
"77",1,4,2,40
"78",3,23,15,40.5
"79",1,4,2,38
"80",3,51,31,37.5
