"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,3,1.27,0.28,14,24
"2",1,7,2.07,0.39,14,24
"3",1,15,3.01,0.53,14,24
"4",1,25,3.4,0.51,14,24
"5",1,40,3.95,0.38,14,24
"6",1,60,5.53,0.62,14,24
"7",1,90,5.33,0.51,14,24
"8",2,5,3.14,0.25,10,24
"9",2,8,4.01,0.6,10,24
"10",2,15,6.36,0.97,10,24
"11",2,30,7.74,0.88,10,24
"12",2,51,10.01,0.85,10,24
"13",2,91,11.1,1.02,10,24
"14",4,10,9.28,0.75,7,24
"15",4,16,11.83,1.58,7,24
"16",4,25,16.23,1.9,7,24
"17",4,45,23.15,2.63,7,24
"18",4,75,26.28,2.6,7,24
"19",4,110,26.07,1.47,7,24
"20",8,30,17.64,2.15,4,24
"21",8,36,22,1.6,4,24
"22",8,45,24.42,4.22,4,24
"23",8,60,32.7,4.54,4,24
"24",8,86,38.76,2.92,4,24
"25",8,125,39.68,1.29,4,24
