"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,6,3.19,0.5,18,10
"2",1,12,5.25,0.69,18,10
"3",1,18,4.97,0.65,18,10
"4",1,25,6.77,1.06,18,10
"5",1,36,7.17,0.58,18,10
"6",1,50,8.26,0.78,18,10
"7",1,70,9.89,1.15,18,10
"8",2,11,5.81,1.33,7,10
"9",2,25,7.84,1.03,7,10
"10",2,36,12.44,1.32,7,10
"11",2,50,14.19,0.99,7,10
"12",2,70,13.85,1.61,7,10
"13",2,100,12.5,1.2,7,10
"14",2,140,14.47,2.09,7,10
"15",4,16,10.86,0.87,5,10
"16",4,32,19.5,3.98,5,10
"17",4,45,23.9,4.91,5,10
"18",4,63,24.78,2.57,5,10
"19",4,91,24.81,2.18,5,10
"20",4,127,30.35,2.62,5,10
"21",4,178,32.03,4.58,5,10
"22",6,20,14.74,2.21,4,10
"23",6,40,25.51,5.5,4,10
"24",6,57,31.85,8.44,4,10
"25",6,80,28.66,3.53,4,10
"26",6,114,33.83,4.94,4,10
"27",6,160,37.29,3.08,4,10
"28",6,225,38.17,6.64,4,10
"29",8,22,20.16,1.07,4,10
"30",8,45,27.36,5.13,4,10
"31",8,65,31.3,1.89,4,10
"32",8,91,40.8,6.09,4,10
"33",8,128,53.67,8.25,4,10
"34",8,180,49.27,3.92,4,10
"35",8,253,46.36,6.18,4,10
