"","Npredator","Nprey","Nconsumed","Time"
"1",20,1183,19,47
"2",23,1243,9,42
"3",23,1243,17,42
"4",24,1215,9,32
"5",24,1215,12,38
"6",31,1203,15,50
"7",31,1203,14,45
"8",41,1139,15,42
"9",41,1139,10,39
"10",41,1139,4,19
"11",44,1070,15,45
"12",44,1070,6,45
"13",44,1070,14,39
"14",34,949,12,36
"15",40,845,11,42
"16",40,845,5,42
"17",40,845,6,42
"18",40,845,4,42
"19",43,857,11,44
"20",43,857,6,44
"21",43,857,6,44
"22",50,788,30,50
"23",30,767,10,70
"24",30,767,5,70
"25",14,780,8,44
"26",14,780,4,44
"27",14,780,3,44
"28",14,780,3,44
"29",23,830,6,47
"30",23,830,5,47
"31",23,830,4,42
"32",24,927,5,28
"33",24,927,3,37
"34",24,927,3,30
"35",22,976,1,33
"36",22,976,8,42
"37",22,976,3,34
"38",20,1014,18,66
"39",20,1014,8,52
"40",16,1046,5,45
"41",16,1046,8,45
"42",12,1116,9,44
"43",12,1116,6,44
"44",12,1260,6,51
"45",12,1260,3,51
"46",12,1260,6,37
"47",15,1315,23,46
"48",12,1496,1,42
"49",12,1496,7,45
"50",12,1496,2,25
"51",12,1496,3,33
"52",12,1697,12,48
"53",12,1697,3,43
"54",12,1697,4,47
"55",12,1697,5,43
"56",13,1784,3,48
"57",13,1784,4,48
"58",13,1784,1,48
"59",13,1784,10,48
"60",17,2017,5,48
"61",17,2017,11,48
"62",17,2017,4,48
"63",16,2117,3,40
"64",16,2117,8,47
"65",16,2117,2,17
"66",16,2117,9,44
"67",22,2398,7,41
"68",22,2398,9,46
"69",22,2398,10,46
"70",24,900,2,23
"71",24,900,3,42
"72",24,900,6,47
"73",24,900,9,47
"74",14,925,5,37
"75",14,925,3,31
"76",14,925,2,29
"77",14,925,2,33
"78",25,997,5,44
"79",25,997,7,43
"80",25,997,11,46
"81",29,1031,3,36
"82",29,1031,8,46
"83",29,1031,8,44
"84",19,1120,5,42
"85",19,1120,8,42
"86",19,1120,10,42
"87",17,1100,9,33
"88",17,1100,6,33
"89",17,1100,6,33
"90",19,900,4,44
"91",19,900,6,44
"92",19,900,10,44
"93",29,750,7,44
"94",29,750,12,44
"95",29,750,11,44
"96",30,540,7,35
"97",30,540,7,35
"98",30,540,11,35
"99",30,450,8,38
"100",30,450,5,38
"101",30,450,6,38
"102",21,385,6,40
"103",21,385,7,30
"104",21,385,3,30
"105",23,650,4,37
"106",23,650,5,43
"107",23,650,7,43
"108",23,650,7,43
"109",24,530,6,40
"110",24,530,6,47
"111",24,530,4,50
"112",19,510,4,39
"113",19,510,5,39
"114",16,515,11,37
"115",9,750,5,44
"116",8,975,2,33
"117",9,1050,4,44
"118",9,1050,2,45
