"","Npredator","Nprey","Nconsumed","Time"
"1",20,1183,19,47
"2",23,1243,26,42
"3",24,1215,21,35
"4",31,1203,29,47.5
"5",41,1139,29,33.3
"6",44,1070,35,43
"7",34,949,12,36
"8",40,845,26,42
"9",43,857,23,44
"10",50,788,30,50
"11",30,767,15,70
"12",14,780,18,44
"13",23,830,15,45.3
"14",24,927,11,31.7
"15",22,976,12,36.3
"16",20,1014,26,59
"17",16,1046,13,45
"18",12,1116,15,44
"19",12,1260,15,46.3
"20",15,1315,23,46
"21",12,1496,13,36.25
"22",12,1697,24,45.25
"23",13,1784,18,48
"24",17,2017,20,48
"25",16,2117,22,37
"26",22,2398,26,44.3
"27",24,900,20,39.75
"28",14,925,12,32.5
