"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,1,0.608,NA,5,8
"2",2,1,1.12,NA,5,8
"3",4,1,0.872,NA,5,8
"4",8,1,1.232,NA,5,8
"5",16,1,0.664,NA,5,8
"6",1,5,0.696,NA,5,8
"7",2,5,0.728,NA,5,8
"8",4,5,1.048,NA,5,8
"9",8,5,1.384,NA,5,8
"10",16,5,1.072,NA,5,8
"11",1,10,0.928,NA,5,8
"12",2,10,1.8,NA,5,8
"13",4,10,1.896,NA,5,8
"14",8,10,2.552,NA,5,8
"15",16,10,3.416,NA,5,8
"16",1,50,1.944,NA,5,8
"17",2,50,2.144,NA,5,8
"18",4,50,1.776,NA,5,8
"19",8,50,4.976,NA,5,8
"20",16,50,8.528,NA,5,8
