"","Npredator","Nprey1","Nconsumed1","Nprey2","Nconsumed2","Time"
"1",1,0,0,24,5,24
"2",1,0,0,24,8,24
"3",1,0,0,24,12,24
"4",1,0,0,72,32,24
"5",1,0,0,72,14,24
"6",1,0,0,72,16,24
"7",1,0,0,120,26,24
"8",1,0,0,120,18,24
"9",1,0,0,120,17,24
"10",1,0,0,168,34,24
"11",1,0,0,168,31,24
"12",1,0,0,168,21,24
"13",1,0,0,216,32,24
"14",1,0,0,216,32,24
"15",1,0,0,216,29,24
"16",1,0,0,264,33,24
"17",1,0,0,264,33,24
"18",1,0,0,264,29,24
"19",1,24,14,0,0,24
"20",1,24,11,0,0,24
"21",1,24,12,0,0,24
"22",1,24,10,24,4,24
"23",1,24,8,24,14,24
"24",1,24,7,72,37,24
"25",1,24,4,72,20,24
"26",1,24,8,120,31,24
"27",1,24,1,120,26,24
"28",1,24,8,168,22,24
"29",1,24,3,168,27,24
"30",1,24,2,216,45,24
"31",1,24,3,216,28,24
"32",1,24,1,264,31,24
"33",1,24,0,264,23,24
"34",1,72,20,0,0,24
"35",1,72,44,0,0,24
"36",1,72,14,0,0,24
"37",1,72,16,24,9,24
"38",1,72,21,24,9,24
"39",1,72,8,72,18,24
"40",1,72,24,72,15,24
"41",1,72,11,120,20,24
"42",1,72,17,720,20,24
"43",1,72,2,168,41,24
"44",1,72,23,168,31,24
"45",1,72,1,216,38,24
"46",1,72,13,216,27,24
"47",1,72,3,264,40,24
"48",1,72,2,264,24,24
"49",1,120,27,0,0,24
"50",1,120,54,0,0,24
"51",1,120,20,0,0,24
"52",1,120,22,24,2,24
"53",1,120,22,24,5,24
"54",1,120,26,72,17,24
"55",1,120,43,120,14,24
"56",1,120,7,120,37,24
"57",1,120,46,120,30,24
"58",1,120,22,168,41,24
"59",1,120,7,168,27,24
"60",1,120,14,216,29,24
"61",1,120,8,216,24,24
"62",1,120,0,264,25,24
"63",1,120,10,264,27,24
"64",1,168,19,0,0,24
"65",1,168,32,0,0,24
"66",1,168,30,0,0,24
"67",1,168,46,24,13,24
"68",1,168,23,24,3,24
"69",1,168,15,72,16,24
"70",1,168,16,72,21,24
"71",1,168,32,120,28,24
"72",1,168,25,120,12,24
"73",1,168,9,168,34,24
"74",1,168,18,168,28,24
"75",1,168,10,216,22,24
"76",1,168,17,216,32,24
"77",1,168,7,264,21,24
"78",1,168,3,264,28,24
"79",1,216,80,0,0,24
"80",1,216,24,0,0,24
"81",1,216,57,0,0,24
"82",1,216,38,24,5,24
"83",1,216,25,24,7,24
"84",1,216,33,72,11,24
"85",1,216,32,72,8,24
"86",1,216,9,120,29,24
"87",1,216,22,120,27,24
"88",1,216,5,168,40,24
"89",1,216,13,168,19,24
"90",1,216,7,216,15,24
"91",1,216,9,216,43,24
"92",1,216,11,264,36,24
"93",1,216,27,264,18,24
"94",1,264,37,0,0,24
"95",1,264,61,0,0,24
"96",1,264,60,0,0,24
"97",1,264,30,24,5,24
"98",1,264,92,24,1,24
"99",1,264,28,72,6,24
"100",1,264,25,72,6,24
"101",1,264,16,120,19,24
"102",1,264,38,120,4,24
"103",1,264,14,168,23,24
"104",1,264,15,168,25,24
"105",1,264,17,216,16,24
"106",1,264,6,216,23,24
"107",1,264,16,264,14,24
"108",1,264,35,264,17,24
