"","Npredator","Nprey1","Nconsumed1.mean","Nconsumed1.se","Nprey2","Nconsumed2.mean","Nconsumed2.se","n","Time"
"1",1,20,0.2,0.15,180,9.2,0.59,10,90
"2",1,40,0.8,0.15,160,8.6,0.39,10,90
"3",1,60,1.6,0.19,140,7.7,0.39,10,90
"4",1,80,2.6,0.19,120,6.6,0.19,10,90
"5",1,100,3.8,0.48,100,5.3,0.35,10,90
"6",1,120,5.1,0.4,80,3.9,0.53,10,90
"7",1,140,6.4,0.19,60,2.5,0.26,10,90
"8",1,160,7.5,0.31,40,1.3,0.24,10,90
"9",1,180,8.3,0.24,20,0.4,0.19,10,90
"10",1,20,1,0,0,0,0,1,90
"11",1,20,0,0,0,0,0,1,90
"12",1,20,1,0,0,0,0,1,90
"13",1,20,1,0,0,0,0,1,90
"14",1,20,1,0,0,0,0,1,90
"15",1,20,1,0,0,0,0,1,90
"16",1,20,1,0,0,0,0,1,90
"17",1,20,2,0,0,0,0,1,90
"18",1,20,2,0,0,0,0,1,90
"19",1,20,1,0,0,0,0,1,90
"20",1,40,2,0,0,0,0,1,90
"21",1,40,3,0,0,0,0,1,90
"22",1,40,3,0,0,0,0,1,90
"23",1,40,2,0,0,0,0,1,90
"24",1,40,2,0,0,0,0,1,90
"25",1,40,1,0,0,0,0,1,90
"26",1,40,2,0,0,0,0,1,90
"27",1,40,3,0,0,0,0,1,90
"28",1,40,2,0,0,0,0,1,90
"29",1,40,2,0,0,0,0,1,90
"30",1,60,3,0,0,0,0,1,90
"31",1,60,3,0,0,0,0,1,90
"32",1,60,3,0,0,0,0,1,90
"33",1,60,3,0,0,0,0,1,90
"34",1,60,3,0,0,0,0,1,90
"35",1,60,4,0,0,0,0,1,90
"36",1,60,3,0,0,0,0,1,90
"37",1,60,4,0,0,0,0,1,90
"38",1,60,3,0,0,0,0,1,90
"39",1,60,3,0,0,0,0,1,90
"40",1,80,5,0,0,0,0,1,90
"41",1,80,4,0,0,0,0,1,90
"42",1,80,3,0,0,0,0,1,90
"43",1,80,4,0,0,0,0,1,90
"44",1,80,3,0,0,0,0,1,90
"45",1,80,3,0,0,0,0,1,90
"46",1,80,5,0,0,0,0,1,90
"47",1,80,5,0,0,0,0,1,90
"48",1,80,5,0,0,0,0,1,90
"49",1,80,4,0,0,0,0,1,90
"50",1,100,5,0,0,0,0,1,90
"51",1,100,6,0,0,0,0,1,90
"52",1,100,5,0,0,0,0,1,90
"53",1,100,6,0,0,0,0,1,90
"54",1,100,4,0,0,0,0,1,90
"55",1,100,4,0,0,0,0,1,90
"56",1,100,6,0,0,0,0,1,90
"57",1,100,4,0,0,0,0,1,90
"58",1,100,5,0,0,0,0,1,90
"59",1,100,5,0,0,0,0,1,90
"60",1,120,5,0,0,0,0,1,90
"61",1,120,6,0,0,0,0,1,90
"62",1,120,5,0,0,0,0,1,90
"63",1,120,7,0,0,0,0,1,90
"64",1,120,7,0,0,0,0,1,90
"65",1,120,6,0,0,0,0,1,90
"66",1,120,5,0,0,0,0,1,90
"67",1,120,6,0,0,0,0,1,90
"68",1,120,6,0,0,0,0,1,90
"69",1,120,5,0,0,0,0,1,90
"70",1,140,6,0,0,0,0,1,90
"71",1,140,6,0,0,0,0,1,90
"72",1,140,6,0,0,0,0,1,90
"73",1,140,8,0,0,0,0,1,90
"74",1,140,7,0,0,0,0,1,90
"75",1,140,7,0,0,0,0,1,90
"76",1,140,6,0,0,0,0,1,90
"77",1,140,6,0,0,0,0,1,90
"78",1,140,6,0,0,0,0,1,90
"79",1,140,8,0,0,0,0,1,90
"80",1,160,8,0,0,0,0,1,90
"81",1,160,6,0,0,0,0,1,90
"82",1,160,7,0,0,0,0,1,90
"83",1,160,8,0,0,0,0,1,90
"84",1,160,8,0,0,0,0,1,90
"85",1,160,8,0,0,0,0,1,90
"86",1,160,7,0,0,0,0,1,90
"87",1,160,6,0,0,0,0,1,90
"88",1,160,8,0,0,0,0,1,90
"89",1,160,7,0,0,0,0,1,90
"90",1,180,8,0,0,0,0,1,90
"91",1,180,9,0,0,0,0,1,90
"92",1,180,8,0,0,0,0,1,90
"93",1,180,7,0,0,0,0,1,90
"94",1,180,8,0,0,0,0,1,90
"95",1,180,8,0,0,0,0,1,90
"96",1,180,9,0,0,0,0,1,90
"97",1,180,8,0,0,0,0,1,90
"98",1,180,7,0,0,0,0,1,90
"99",1,180,8,0,0,0,0,1,90
"100",1,200,9,0,0,0,0,1,90
"101",1,200,8,0,0,0,0,1,90
"102",1,200,8,0,0,0,0,1,90
"103",1,200,10,0,0,0,0,1,90
"104",1,200,9,0,0,0,0,1,90
"105",1,200,8,0,0,0,0,1,90
"106",1,200,9,0,0,0,0,1,90
"107",1,200,9,0,0,0,0,1,90
"108",1,200,8,0,0,0,0,1,90
"109",1,200,8,0,0,0,0,1,90
"110",1,0,0,0,20,1,0,1,90
"111",1,0,0,0,20,1,0,1,90
"112",1,0,0,0,20,2,0,1,90
"113",1,0,0,0,20,1,0,1,90
"114",1,0,0,0,20,2,0,1,90
"115",1,0,0,0,20,1,0,1,90
"116",1,0,0,0,20,1,0,1,90
"117",1,0,0,0,20,2,0,1,90
"118",1,0,0,0,20,1,0,1,90
"119",1,0,0,0,20,2,0,1,90
"120",1,0,0,0,40,2,0,1,90
"121",1,0,0,0,40,3,0,1,90
"122",1,0,0,0,40,4,0,1,90
"123",1,0,0,0,40,3,0,1,90
"124",1,0,0,0,40,3,0,1,90
"125",1,0,0,0,40,3,0,1,90
"126",1,0,0,0,40,3,0,1,90
"127",1,0,0,0,40,1,0,1,90
"128",1,0,0,0,40,2,0,1,90
"129",1,0,0,0,40,2,0,1,90
"130",1,0,0,0,60,5,0,1,90
"131",1,0,0,0,60,4,0,1,90
"132",1,0,0,0,60,5,0,1,90
"133",1,0,0,0,60,5,0,1,90
"134",1,0,0,0,60,3,0,1,90
"135",1,0,0,0,60,4,0,1,90
"136",1,0,0,0,60,3,0,1,90
"137",1,0,0,0,60,4,0,1,90
"138",1,0,0,0,60,2,0,1,90
"139",1,0,0,0,60,3,0,1,90
"140",1,0,0,0,80,6,0,1,90
"141",1,0,0,0,80,5,0,1,90
"142",1,0,0,0,80,4,0,1,90
"143",1,0,0,0,80,6,0,1,90
"144",1,0,0,0,80,5,0,1,90
"145",1,0,0,0,80,4,0,1,90
"146",1,0,0,0,80,3,0,1,90
"147",1,0,0,0,80,5,0,1,90
"148",1,0,0,0,80,4,0,1,90
"149",1,0,0,0,80,6,0,1,90
"150",1,0,0,0,100,5,0,1,90
"151",1,0,0,0,100,6,0,1,90
"152",1,0,0,0,100,6,0,1,90
"153",1,0,0,0,100,5,0,1,90
"154",1,0,0,0,100,6,0,1,90
"155",1,0,0,0,100,5,0,1,90
"156",1,0,0,0,100,7,0,1,90
"157",1,0,0,0,100,6,0,1,90
"158",1,0,0,0,100,5,0,1,90
"159",1,0,0,0,100,7,0,1,90
"160",1,0,0,0,120,8,0,1,90
"161",1,0,0,0,120,6,0,1,90
"162",1,0,0,0,120,6,0,1,90
"163",1,0,0,0,120,5,0,1,90
"164",1,0,0,0,120,6,0,1,90
"165",1,0,0,0,120,8,0,1,90
"166",1,0,0,0,120,7,0,1,90
"167",1,0,0,0,120,6,0,1,90
"168",1,0,0,0,120,7,0,1,90
"169",1,0,0,0,120,8,0,1,90
"170",1,0,0,0,140,5,0,1,90
"171",1,0,0,0,140,8,0,1,90
"172",1,0,0,0,140,7,0,1,90
"173",1,0,0,0,140,8,0,1,90
"174",1,0,0,0,140,9,0,1,90
"175",1,0,0,0,140,8,0,1,90
"176",1,0,0,0,140,8,0,1,90
"177",1,0,0,0,140,9,0,1,90
"178",1,0,0,0,140,7,0,1,90
"179",1,0,0,0,140,6,0,1,90
"180",1,0,0,0,160,8,0,1,90
"181",1,0,0,0,160,6,0,1,90
"182",1,0,0,0,160,10,0,1,90
"183",1,0,0,0,160,9,0,1,90
"184",1,0,0,0,160,8,0,1,90
"185",1,0,0,0,160,9,0,1,90
"186",1,0,0,0,160,9,0,1,90
"187",1,0,0,0,160,8,0,1,90
"188",1,0,0,0,160,8,0,1,90
"189",1,0,0,0,160,7,0,1,90
"190",1,0,0,0,180,9,0,1,90
"191",1,0,0,0,180,9,0,1,90
"192",1,0,0,0,180,10,0,1,90
"193",1,0,0,0,180,9,0,1,90
"194",1,0,0,0,180,6,0,1,90
"195",1,0,0,0,180,8,0,1,90
"196",1,0,0,0,180,10,0,1,90
"197",1,0,0,0,180,10,0,1,90
"198",1,0,0,0,180,9,0,1,90
"199",1,0,0,0,180,9,0,1,90
"200",1,0,0,0,200,11,0,1,90
"201",1,0,0,0,200,7,0,1,90
"202",1,0,0,0,200,8,0,1,90
"203",1,0,0,0,200,11,0,1,90
"204",1,0,0,0,200,11,0,1,90
"205",1,0,0,0,200,10,0,1,90
"206",1,0,0,0,200,9,0,1,90
"207",1,0,0,0,200,7,0,1,90
"208",1,0,0,0,200,12,0,1,90
"209",1,0,0,0,200,10,0,1,90
