"","Npredator","Nprey1","Nconsumed1.mean","Nconsumed1.se","Nprey2","Nconsumed2.mean","Nconsumed2.se","n","Time"
"1",1,2,0.547,0.31,0,0,0,8,40
"2",1,4,1.508,0.369,0,0,0,8,40
"3",1,8,2.2,0.682,0,0,0,8,40
"4",1,16,3.435,0.707,0,0,0,8,40
"5",1,32,4.11,0.343,0,0,0,8,40
"6",1,64,3.972,0.486,0,0,0,8,40
"7",1,128,4.612,0.587,0,0,0,8,40
"8",1,256,4.974,0.713,0,0,0,8,40
"9",1,0,0,0,2,0.33,0.342,8,40
"10",1,0,0,0,4,0.388,0.247,8,40
"11",1,0,0,0,8,0.246,0.167,8,40
"12",1,0,0,0,16,0.367,0.199,8,40
"13",1,0,0,0,32,1.009,0.883,8,40
"14",1,0,0,0,64,0.883,0.597,8,40
"15",1,0,0,0,128,0.905,0.291,8,40
"16",1,0,0,0,256,1.174,0.362,8,40
"17",1,2,0.217,0.034,2,0.002,0.003,8,40
"18",1,4,1.665,0.252,4,0.131,0.35,8,40
"19",1,8,3.165,0.391,8,0.003,0.004,8,40
"20",1,16,3.362,0.43,16,0.14,0.38,8,40
"21",1,32,5.814,0.629,32,0,0.083,8,40
"22",1,64,6.55,0.675,64,0.142,0.345,8,40
"23",1,128,5.901,0.708,128,0.311,0.751,8,40
"24",1,256,8.095,0.722,256,0.424,0.549,8,40
