"","Npredator","Nprey1","Nconsumed1.mean","Nconsumed1.se","Nprey2","Nconsumed2.mean","Nconsumed2.se","n","Time"
"1",1,2,0.632,0.193,0,0,0,8,40
"2",1,4,0.649,0.228,0,0,0,8,40
"3",1,8,1.035,0.263,0,0,0,8,40
"4",1,16,2.509,0.351,0,0,0,8,40
"5",1,32,2.509,0.509,0,0,0,8,40
"6",1,64,3.281,0.404,0,0,0,8,40
"7",1,128,3.895,0.404,0,0,0,8,40
"8",1,256,2.123,0.526,0,0,0,8,40
"9",1,0,0,0,2,0.33,0.342,8,40
"10",1,0,0,0,4,0.388,0.247,8,40
"11",1,0,0,0,8,0.246,0.167,8,40
"12",1,0,0,0,16,0.367,0.199,8,40
"13",1,0,0,0,32,1.009,0.883,8,40
"14",1,0,0,0,64,0.883,0.597,8,40
"15",1,0,0,0,128,0.905,0.291,8,40
"16",1,0,0,0,256,1.174,0.362,8,40
"17",1,2,0.241,0.462,2,0.107,0.133,8,40
"18",1,4,0.02,0,4,0.101,0.138,8,40
"19",1,8,0.12,0.341,8,0.215,0.172,8,40
"20",1,16,0.743,0.422,16,0.218,0.173,8,40
"21",1,32,1.245,0.341,32,1.227,0.311,8,40
"22",1,64,1.406,0.442,64,1.394,0.483,8,40
"23",1,128,2.61,0.482,128,2.272,0.496,8,40
"24",1,256,4.096,0.924,256,2.177,0.749,8,40
