"","Npredator","Nprey1","Nconsumed1.mean","Nconsumed1.se","Nprey2","Nconsumed2.mean","Nconsumed2.se","n","Time"
"1",1,2,1.282,0.401,0,0,0,8,40
"2",1,4,2.161,0.511,0,0,0,8,40
"3",1,8,2.308,0.876,0,0,0,8,40
"4",1,16,3.443,0.839,0,0,0,8,40
"5",1,32,6.19,1.095,0,0,0,8,40
"6",1,64,7.656,2.19,0,0,0,8,40
"7",1,128,8.022,2.044,0,0,0,8,40
"8",1,256,6.923,0.985,0,0,0,8,40
"9",1,0,0,0,2,0.33,0.342,8,40
"10",1,0,0,0,4,0.388,0.247,8,40
"11",1,0,0,0,8,0.246,0.167,8,40
"12",1,0,0,0,16,0.367,0.199,8,40
"13",1,0,0,0,32,1.009,0.883,8,40
"14",1,0,0,0,64,0.883,0.597,8,40
"15",1,0,0,0,128,0.905,0.291,8,40
"16",1,0,0,0,256,1.174,0.362,8,40
"17",1,2,0.131,0.197,2,0.108,0.161,8,40
"18",1,4,0.613,0.263,4,0.121,0.143,8,40
"19",1,8,1.204,0.438,8,0.661,0.224,8,40
"20",1,16,2.299,0.438,16,1.213,0.53,8,40
"21",1,32,3.788,0.482,32,2.159,1.099,8,40
"22",1,64,2.474,0.81,64,0.64,0.268,8,40
"23",1,128,4.007,0.526,128,1.956,0.489,8,40
"24",1,256,4.818,0.964,256,3.939,1.379,8,40
