"","Npredator","Nprey1","Nconsumed1.mean","Nconsumed1.se","Nprey2","Nconsumed2.mean","Nconsumed2.se","n","Time"
"1",1,10,5.432,0.823,0,0,0,4,24
"2",1,25,12.841,3.04,0,0,0,4,24
"3",1,50,19.691,2.163,0,0,0,4,24
"4",1,100,26.537,2.164,0,0,0,4,24
"5",1,200,37.298,3.915,0,0,0,4,24
"6",1,0,0,0,10,1.237,0.725,4,24
"7",1,0,0,0,25,3.04,0.739,4,24
"8",1,0,0,0,50,6.672,1.191,4,24
"9",1,0,0,0,100,5.798,1.217,4,24
"10",1,0,0,0,200,7.881,1.501,4,24
"11",1,20,3.326,1.273,20,1.182,0.233,4,24
"12",1,50,11.225,1.371,50,1.824,0.448,4,24
"13",1,100,17.942,2.177,100,2.017,0.557,4,24
"14",1,200,13.76,2.163,200,0.97,0.434,4,24
