"","Npredator","Nprey1","Nconsumed1","Nprey2","Nconsumed2","Time"
"1",1,2,3,0,0,3
"2",1,2,3,0,0,3
"3",1,2,3,0,0,3
"4",1,2,1,0,0,3
"5",1,6,11,0,0,3
"6",1,6,13,0,0,3
"7",1,6,10,0,0,3
"8",1,6,7,0,0,3
"9",1,14,15,0,0,3
"10",1,14,15,0,0,3
"11",1,14,18,0,0,3
"12",1,14,12,0,0,3
"13",1,26,15,0,0,3
"14",1,26,20,0,0,3
"15",1,26,16,0,0,3
"16",1,26,13,0,0,3
"17",1,40,20,0,0,3
"18",1,40,18,0,0,3
"19",1,40,19,0,0,3
"20",1,40,17,0,0,3
"21",1,0,0,2,2,3
"22",1,0,0,2,2,3
"23",1,0,0,2,2,3
"24",1,0,0,2,1,3
"25",1,0,0,6,7,3
"26",1,0,0,6,11,3
"27",1,0,0,6,10,3
"28",1,0,0,6,6,3
"29",1,0,0,14,15,3
"30",1,0,0,14,14,3
"31",1,0,0,14,14,3
"32",1,0,0,14,13,3
"33",1,0,0,26,12,3
"34",1,0,0,26,13,3
"35",1,0,0,26,16,3
"36",1,0,0,26,13,3
"37",1,0,0,40,22,3
"38",1,0,0,40,18,3
"39",1,0,0,40,15,3
"40",1,0,0,40,16,3
"41",1,2,3,2,2,3
"42",1,2,3,2,3,3
"43",1,2,3,2,3,3
"44",1,2,3,2,1,3
"45",1,6,11,6,6,3
"46",1,6,8,6,4,3
"47",1,6,9,6,2,3
"48",1,6,12,6,3,3
"49",1,14,13,14,7,3
"50",1,14,10,14,7,3
"51",1,14,17,14,7,3
"52",1,14,17,14,2,3
"53",1,26,17,26,5,3
"54",1,26,23,26,5,3
"55",1,26,21,26,1,3
"56",1,26,20,26,6,3
"57",1,40,19,40,5,3
"58",1,40,20,40,5,3
"59",1,40,19,40,4,3
"60",1,40,22,40,7,3
