"","Npredator","Nprey1","Nconsumed1","Nprey2","Nconsumed2","Time"
"1",1,2,2,0,0,3
"2",1,2,4,0,0,3
"3",1,2,4,0,0,3
"4",1,2,2,0,0,3
"5",1,6,6,0,0,3
"6",1,6,5,0,0,3
"7",1,6,5,0,0,3
"8",1,6,14,0,0,3
"9",1,14,12,0,0,3
"10",1,14,15,0,0,3
"11",1,14,15,0,0,3
"12",1,14,12,0,0,3
"13",1,26,13,0,0,3
"14",1,26,21,0,0,3
"15",1,26,17,0,0,3
"16",1,26,19,0,0,3
"17",1,40,15,0,0,3
"18",1,40,29,0,0,3
"19",1,40,26,0,0,3
"20",1,40,25,0,0,3
"21",1,0,0,2,4,3
"22",1,0,0,2,6,3
"23",1,0,0,2,6,3
"24",1,0,0,2,6,3
"25",1,0,0,6,17,3
"26",1,0,0,6,12,3
"27",1,0,0,6,17,3
"28",1,0,0,6,16,3
"29",1,0,0,14,24,3
"30",1,0,0,14,30,3
"31",1,0,0,14,21,3
"32",1,0,0,14,21,3
"33",1,0,0,26,24,3
"34",1,0,0,26,27,3
"35",1,0,0,26,25,3
"36",1,0,0,26,25,3
"37",1,0,0,40,25,3
"38",1,0,0,40,33,3
"39",1,0,0,40,28,3
"40",1,0,0,40,36,3
"41",1,2,6,2,3,3
"42",1,2,5,2,3,3
"43",1,2,6,2,4,3
"44",1,2,5,2,1,3
"45",1,6,17,6,10,3
"46",1,6,12,6,8,3
"47",1,6,12,6,7,3
"48",1,6,13,6,12,3
"49",1,14,15,14,6,3
"50",1,14,22,14,11,3
"51",1,14,26,14,12,3
"52",1,14,17,14,10,3
"53",1,26,25,26,16,3
"54",1,26,14,26,17,3
"55",1,26,19,26,19,3
"56",1,26,17,26,14,3
"57",1,40,21,40,19,3
"58",1,40,21,40,15,3
"59",1,40,26,40,17,3
"60",1,40,20,40,25,3
