"","Npredator","Nprey1","Nconsumed1","Nprey2","Nconsumed2","Time"
"1",1,2,3,0,0,3
"2",1,2,1,0,0,3
"3",1,2,3,0,0,3
"4",1,2,3,0,0,3
"5",1,6,10,0,0,3
"6",1,6,14,0,0,3
"7",1,6,11,0,0,3
"8",1,6,11,0,0,3
"9",1,14,15,0,0,3
"10",1,14,16,0,0,3
"11",1,14,20,0,0,3
"12",1,14,11,0,0,3
"13",1,26,14,0,0,3
"14",1,26,15,0,0,3
"15",1,26,17,0,0,3
"16",1,26,12,0,0,3
"17",1,40,18,0,0,3
"18",1,40,13,0,0,3
"19",1,40,18,0,0,3
"20",1,40,15,0,0,3
"21",1,0,0,2,3,3
"22",1,0,0,2,3,3
"23",1,0,0,2,3,3
"24",1,0,0,2,3,3
"25",1,0,0,6,12,3
"26",1,0,0,6,9,3
"27",1,0,0,6,15,3
"28",1,0,0,6,15,3
"29",1,0,0,14,15,3
"30",1,0,0,14,19,3
"31",1,0,0,14,16,3
"32",1,0,0,14,7,3
"33",1,0,0,26,17,3
"34",1,0,0,26,20,3
"35",1,0,0,26,16,3
"36",1,0,0,26,25,3
"37",1,0,0,40,16,3
"38",1,0,0,40,26,3
"39",1,0,0,40,27,3
"40",1,0,0,40,19,3
"41",1,2,2,2,3,3
"42",1,2,3,2,3,3
"43",1,2,3,2,3,3
"44",1,2,3,2,3,3
"45",1,6,11,6,4,3
"46",1,6,6,6,4,3
"47",1,6,13,6,4,3
"48",1,6,5,6,5,3
"49",1,14,11,14,6,3
"50",1,14,12,14,7,3
"51",1,14,13,14,5,3
"52",1,14,8,14,11,3
"53",1,26,7,26,10,3
"54",1,26,19,26,10,3
"55",1,26,20,26,9,3
"56",1,26,17,26,12,3
"57",1,40,11,40,9,3
"58",1,40,19,40,11,3
"59",1,40,18,40,10,3
"60",1,40,13,40,9,3
