"","Npredator","Nprey1","Nconsumed1","Nprey2","Nconsumed2","Time"
"1",1,3,0,0,0,24
"2",1,3,0,0,0,24
"3",1,3,0,0,0,24
"4",1,3,0,0,0,24
"5",1,5,3,0,0,24
"6",1,5,3,0,0,24
"7",1,5,2,0,0,24
"8",1,5,1,0,0,24
"9",1,5,3,0,0,24
"10",1,5,2,0,0,24
"11",1,5,4,0,0,24
"12",1,5,3,0,0,24
"13",1,5,2,0,0,24
"14",1,8,1,0,0,24
"15",1,8,3,0,0,24
"16",1,8,2,0,0,24
"17",1,8,2,0,0,24
"18",1,10,1,0,0,24
"19",1,10,3,0,0,24
"20",1,10,5,0,0,24
"21",1,10,6,0,0,24
"22",1,10,1,0,0,24
"23",1,10,6,0,0,24
"24",1,15,2,0,0,24
"25",1,15,0,0,0,24
"26",1,15,2,0,0,24
"27",1,0,0,2,0,24
"28",1,0,0,2,0,24
"29",1,0,0,5,1,24
"30",1,0,0,5,2,24
"31",1,0,0,5,4,24
"32",1,0,0,5,3,24
"33",1,0,0,5,4,24
"34",1,0,0,5,5,24
"35",1,0,0,10,3,24
"36",1,0,0,10,3,24
"37",1,0,0,10,9,24
"38",1,0,0,10,8,24
"39",1,0,0,10,6,24
"40",1,0,0,15,11,24
"41",1,0,0,15,15,24
"42",1,0,0,15,2,24
"43",1,0,0,15,10,24
"44",1,0,0,15,15,24
"45",1,0,0,20,14,24
"46",1,0,0,20,17,24
"47",1,0,0,20,16,24
"48",1,0,0,20,19,24
"49",1,0,0,20,20,24
"50",1,0,0,20,3,24
"51",1,0,0,20,20,24
"52",1,0,0,20,20,24
"53",1,0,0,40,21,24
"54",1,0,0,40,4,24
"55",1,5,1,5,0,24
"56",1,5,1,5,4,24
"57",1,5,0,5,1,24
"58",1,5,2,5,2,24
"59",1,5,2,5,3,24
"60",1,5,1,5,1,24
"61",1,5,0,5,5,24
"62",1,10,0,5,3,24
"63",1,10,0,5,0,24
"64",1,10,2,5,5,24
"65",1,10,0,5,5,24
"66",1,10,4,5,0,24
"67",1,15,10,5,0,24
"68",1,15,6,5,3,24
"69",1,15,10,5,0,24
"70",1,5,1,10,0,24
"71",1,5,1,10,2,24
"72",1,5,1,10,10,24
"73",1,5,0,10,10,24
"74",1,5,0,10,7,24
"75",1,10,3,10,5,24
"76",1,10,4,10,6,24
"77",1,10,8,10,1,24
"78",1,10,3,10,3,24
"79",1,10,6,10,10,24
"80",1,15,0,10,9,24
"81",1,15,1,10,9,24
"82",1,15,7,10,10,24
"83",1,5,3,15,6,24
"84",1,5,4,15,13,24
"85",1,5,0,15,7,24
"86",1,10,3,15,14,24
"87",1,10,5,15,0,24
"88",1,10,2,15,1,24
"89",1,10,0,15,0,24
"90",1,15,2,15,3,24
"91",1,5,0,20,1,24
"92",1,10,2,20,2,24
"93",1,10,0,20,13,24
"94",1,20,9,20,5,24
