"","Npredator","Nprey1","Nconsumed1.mean","Nconsumed1.se","Nprey2","Nconsumed2.mean","Nconsumed2.se","n","Time"
"1",1,2,9.877,0.776,0,0,0,4,10
"2",1,4,13.904,1.279,0,0,0,4,10
"3",1,8,18.251,2.442,0,0,0,4,10
"4",1,16,18.429,1.163,0,0,0,4,10
"5",1,32,22.897,1.96,0,0,0,4,10
"6",1,64,21.58,2.542,0,0,0,4,10
"7",1,128,27.506,1.391,0,0,0,4,10
"8",1,256,30.323,1.392,0,0,0,4,10
"9",1,0,0,0,2,1.957,0.247,7,10
"10",1,0,0,0,4,2.765,0.663,7,10
"11",1,0,0,0,8,3.679,0.974,7,10
"12",1,0,0,0,16,5.421,0.824,7,10
"13",1,0,0,0,32,6.236,0.866,7,10
"14",1,0,0,0,64,6.73,1.106,7,10
"15",1,0,0,0,128,6.613,1.346,7,10
"16",1,0,0,0,256,6.805,1.277,7,10
"17",1,15,4.768,2.658,15,6.423,1.747,5,10
"18",1,30,1.84,0.591,30,6.303,1.335,5,10
"19",1,50,2.183,1.235,50,5.838,2.11,5,10
"20",1,25,8.349,0.713,5,3.635,1.9,5,10
"21",1,50,10.535,2.616,5,2.342,1.531,5,10
"22",1,100,13.399,5.663,5,3.481,0.912,5,10
"23",1,5,0.743,0.481,25,4.64,2.483,5,10
