"","Npredator","Nprey1","Nconsumed1.mean","Nconsumed1.se","Nprey2","Nconsumed2.mean","Nconsumed2.se","n"
"1",1,2,5.195,1.02,0,0,0,4
"2",1,4,17.03,1.205,0,0,0,4
"3",1,8,19.806,1.014,0,0,0,4
"4",1,16,26.598,2.751,0,0,0,4
"5",1,32,28.213,3.205,0,0,0,4
"6",1,64,28.913,2.116,0,0,0,4
"7",1,128,26.376,1.81,0,0,0,4
"8",1,256,28.482,1.772,0,0,0,4
"9",1,0,0,0,2,3.163,0.597,7
"10",1,0,0,0,4,4.61,0.314,7
"11",1,0,0,0,8,5.329,0.757,7
"12",1,0,0,0,16,6.656,0.852,7
"13",1,0,0,0,32,8.455,0.991,7
"14",1,0,0,0,64,9.179,1.302,7
"15",1,0,0,0,128,8.339,1.107,7
"16",1,0,0,0,256,8.264,0.924,7
"17",1,15,3.868,3.086,15,6.767,2.452,5
"18",1,30,2.227,2.22,30,5.779,2.227,5
"19",1,50,6.693,4.952,50,9.954,1.447,5
"20",1,25,4.521,1.624,5,3.348,1.585,5
"21",1,50,13.96,3.911,5,4.926,1.138,5
"22",1,100,13.122,4.587,5,0.863,0.592,5
"23",1,5,0.28,0.366,25,8.08,1.866,5
