"","Npredator","Nprey1","Nconsumed1.mean","Nconsumed1.se","Nprey2","Nconsumed2.mean","Nconsumed2.se","n","Time"
"1",1,2,3.023,0.793,0,0,0,4,10
"2",1,4,5.615,0.832,0,0,0,4,10
"3",1,8,11.271,0.835,0,0,0,4,10
"4",1,16,10.557,1.153,0,0,0,4,10
"5",1,32,15.87,0.709,0,0,0,4,10
"6",1,64,19.342,0.921,0,0,0,4,10
"7",1,128,21.127,1.11,0,0,0,4,10
"8",1,256,22.176,1.377,0,0,0,4,10
"9",1,0,0,0,2,4.382,0.355,7,10
"10",1,0,0,0,4,8.872,1.26,7,10
"11",1,0,0,0,8,11.935,0.96,7,10
"12",1,0,0,0,16,19.96,0.961,7,10
"13",1,0,0,0,32,18.875,0.994,7,10
"14",1,0,0,0,64,23.339,1.397,7,10
"15",1,0,0,0,128,24.165,0.967,7,10
"16",1,0,0,0,256,25.589,1.384,7,10
"17",1,10,1.456,1.814,10,5.08,1.499,5,10
"18",1,50,4.788,1.957,50,17.354,4.118,5,10
"19",1,100,3.03,2.722,100,17.83,13.239,5,10
"20",1,25,3.179,1.829,5,5.74,3.9,5,10
"21",1,50,3.379,2.29,5,4.641,2.517,5,10
"22",1,100,3.543,3.036,5,4.817,3.831,5,10
"23",1,200,5.653,3.16,5,3.248,1.677,5,10
