"","Npredator","Nprey1","Nconsumed1","Nprey2","Nconsumed2","Time"
"1",1,0,0,6,30,12
"2",1,0,0,6,24,12
"3",1,0,0,2,33,12
"4",1,0,0,6,7,12
"5",1,0,0,55,32,12
"6",1,0,0,2,22,12
"7",1,0,0,12,1,12
"8",1,0,0,8,43,12
"9",1,0,0,4,27,12
"10",1,0,0,4,18,12
"11",1,0,0,4,21,12
"12",1,0,0,8,48,12
"13",1,0,0,55,42,12
"14",1,0,0,12,29,12
"15",1,0,0,8,40,12
"16",1,0,0,55,31,12
"17",1,0,0,8,33,12
"18",1,0,0,12,22,12
"19",1,0,0,12,29,12
"20",1,0,0,6,24,12
"21",1,0,0,4,30,12
"22",1,0,0,2,28,12
"23",1,0,0,2,15,12
"24",1,0,0,55,34,12
"25",1,66,18,4,1,12
"26",1,66,26,2,1,12
"27",1,66,14,55,24,12
"28",1,66,52,4,9,12
"29",1,66,9,8,19,12
"30",1,66,25,55,27,12
"31",1,66,41,2,2,12
"32",1,66,34,2,5,12
"33",1,66,1,55,18,12
"34",1,66,31,6,7,12
"35",1,66,21,6,5,12
"36",1,66,29,55,26,12
"37",1,66,25,12,0,12
"38",1,66,26,12,7,12
"39",1,66,41,6,0,12
"40",1,66,27,8,9,12
"41",1,66,7,6,14,12
"42",1,66,37,12,9,12
"43",1,66,42,2,1,12
"44",1,66,64,4,15,12
"45",1,66,22,8,13,12
"46",1,66,29,4,8,12
"47",1,66,17,12,14,12
"48",1,66,21,8,0,12
