"","Npredator","Nprey1","Nconsumed1","Nprey2","Nconsumed2","Time"
"1",1,0,0,2,2,13.5
"2",1,0,0,2,3,13.5
"3",1,0,0,2,2,13.5
"4",1,0,0,2,0,13.5
"5",1,0,0,4,0,13.5
"6",1,0,0,4,3,13.5
"7",1,0,0,4,0,13.5
"8",1,0,0,4,0,13.5
"9",1,0,0,6,1,13.5
"10",1,0,0,6,1,13.5
"11",1,0,0,6,0,13.5
"12",1,0,0,6,4,13.5
"13",1,0,0,8,1,13.5
"14",1,0,0,8,3,13.5
"15",1,0,0,8,3,13.5
"16",1,0,0,8,2,13.5
"17",1,0,0,12,2,13.5
"18",1,0,0,12,4,13.5
"19",1,0,0,12,4,13.5
"20",1,0,0,12,4,13.5
"21",1,0,0,56,44,13.5
"22",1,0,0,56,9,13.5
"23",1,0,0,56,16,13.5
"24",1,0,0,56,59,13.5
"25",1,56,34,2,0,13.5
"26",1,56,27,2,0,13.5
"27",1,56,64,2,0,13.5
"28",1,56,41,2,0,13.5
"29",1,56,28,4,0,13.5
"30",1,56,15,4,0,13.5
"31",1,56,61,4,0,13.5
"32",1,56,22,4,0,13.5
"33",1,56,50,6,0,13.5
"34",1,56,49,6,0,13.5
"35",1,56,54,6,1,13.5
"36",1,56,59,6,0,13.5
"37",1,56,64,8,1,13.5
"38",1,56,70,8,0,13.5
"39",1,56,66,8,0,13.5
"40",1,56,53,8,2,13.5
"41",1,56,57,12,1,13.5
"42",1,56,61,12,0,13.5
"43",1,56,25,12,0,13.5
"44",1,56,51,12,0,13.5
"45",1,56,67,56,6,13.5
"46",1,56,31,56,0,13.5
"47",1,56,43,56,0,13.5
"48",1,56,31,56,1,13.5
