"dataname","replacement","Npredator","Nprey","Nconsumed.mean","Nconsumed.var","Nconsumed.se","n","log.Nconsumed.mean","log.Nconsumed.var","log.Npredator"
"Chong_2006",TRUE,1,2,1.71428571428571,0.238095238095238,0.0697071480677524,7,0.538996500732687,-1.43508452528932,0
"Chong_2006",TRUE,2,4,1.85714285714286,1.14285714285714,0.152720709664243,7,0.619039208406224,0.133531392624523,0.693147180559945
"Chong_2006",TRUE,1,5,3.14285714285714,1.80952380952381,0.192169345467014,7,1.145132304303,0.593063722002963,0
"Chong_2006",TRUE,4,8,6.14285714285714,2.14285714285714,0.209121444203257,7,1.81528996663825,0.762140052046897,1.38629436111989
"Chong_2006",TRUE,1,10,5.57142857142857,2.95238095238095,0.245464197995493,7,1.71765149707433,1.08261194732167,0
"Chong_2006",TRUE,2,10,5.71428571428571,5.57142857142857,0.337198196772618,7,1.74296930505862,1.71765149707433,0.693147180559945
"Chong_2006",TRUE,1,20,7.85714285714286,8.80952380952381,0.424012028360474,7,2.06142303617716,2.1758333873549,0
"Chong_2006",TRUE,2,20,9.28571428571429,5.57142857142857,0.337198196772618,7,2.22847712084032,1.71765149707433,0.693147180559945
"Chong_2006",TRUE,4,20,9.85714285714286,2.14285714285714,0.209121444203257,7,2.28819635554195,0.762140052046897,1.38629436111989
"Chong_2006",TRUE,1,40,11.8571428571429,9.47619047619048,0.439763166228408,7,2.47293045874128,2.24878238700107,0
"Chong_2006",TRUE,2,40,12.5714285714286,9.28571428571429,0.435321000157174,7,2.53142666542289,2.22847712084032,0.693147180559945
"Chong_2006",TRUE,4,40,15.4285714285714,9.28571428571429,0.435321000157174,7,2.73622107806891,2.22847712084032,1.38629436111989
"Chong_2006",TRUE,1,60,8.28571428571429,11.5714285714286,0.485954322440435,7,2.11453286149111,2.44853900561713,0
"Chong_2006",TRUE,2,80,11.7142857142857,15.9047619047619,0.569725352822044,7,2.46080909820894,2.76661855525328,0.693147180559945
"Chong_2006",TRUE,4,80,19.7142857142857,9.57142857142857,0.441967506687913,7,2.98134353610189,2.25878247033565,1.38629436111989
"Chong_2006",TRUE,2,120,14.1428571428571,16.8095238095238,0.585705989654206,7,2.64920970107928,2.82194561920987,0.693147180559945
"Chong_2006",TRUE,4,160,19.1428571428571,28.8095238095238,0.766778628745276,7,2.9519296508956,3.36070602030742,1.38629436111989
"Chong_2006",TRUE,4,240,17.1428571428571,16.1428571428571,0.573973922874499,7,2.84158159372673,2.78147766965703,1.38629436111989
"Crowley_1989",TRUE,1,3,5.73,4.4944,0.53,4,1.74571553072665,1.50283217736784,0
"Crowley_1989",TRUE,1,6,12.1,40.4496,1.59,4,2.4932054526027,3.70005675470406,0
"Crowley_1989",TRUE,1,12,20.7,21.9024,1.17,4,3.03013370027132,3.08659621985911,0
"Crowley_1989",TRUE,1,24,34.08,184.96,3.4,4,3.52871070196111,5.22013958548401,0
